Alumno_ID;DESEMPEÑO;Operativo;CURSO_NORMALIZADO;Curso;División;Ausente;Cantidad_de_palabras;Prosodia;Incluido;Turno;Modalidad;Nivel;Nivel_Unificado;Gestión;Supervisión;Escuela_ID;Departamento;Localidad;zona;Regional;ciclo_lectivo;separador
519307;Crítico;Operativo 2023 Instancia II;2°;2°;A;No;0;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
519338;Crítico;Operativo 2023 Instancia II;2°;2°;A;No;3;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
603743;Crítico;Operativo 2023 Instancia II;2°;2°;A;Si;0;0;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
624592;Básico;Operativo 2023 Instancia II;2°;2°;A;No;32;2;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
624911;Crítico;Operativo 2023 Instancia II;2°;2°;A;No;7;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
627345;Crítico;Operativo 2023 Instancia II;2°;2°;A;No;3;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
750671;Medio;Operativo 2023 Instancia II;2°;2°;A;No;54;3;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
784019;Básico;Operativo 2023 Instancia II;2°;2°;A;No;43;2;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
784087;Crítico;Operativo 2023 Instancia II;2°;2°;A;Si;0;0;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
784261;Crítico;Operativo 2023 Instancia II;2°;2°;A;No;6;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
785441;Crítico;Operativo 2023 Instancia II;2°;2°;A;No;0;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
787725;Básico;Operativo 2023 Instancia II;2°;2°;A;No;23;2;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
787794;Crítico;Operativo 2023 Instancia II;2°;2°;A;No;14;2;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
787800;Crítico;Operativo 2023 Instancia II;2°;2°;A;No;7;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
790532;Crítico;Operativo 2023 Instancia II;2°;2°;A;No;1;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
790538;Crítico;Operativo 2023 Instancia II;2°;2°;A;Si;0;0;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
790539;Crítico;Operativo 2023 Instancia II;2°;2°;A;No;2;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
790544;Crítico;Operativo 2023 Instancia II;2°;2°;A;No;0;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
790560;Crítico;Operativo 2023 Instancia II;2°;2°;A;No;1;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
790577;Medio;Operativo 2023 Instancia II;2°;2°;A;No;61;3;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
790580;Crítico;Operativo 2023 Instancia II;2°;2°;A;Si;0;0;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
790585;Crítico;Operativo 2023 Instancia II;2°;2°;A;No;5;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
790593;Crítico;Operativo 2023 Instancia II;2°;2°;A;No;4;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
790595;Crítico;Operativo 2023 Instancia II;2°;2°;A;Si;0;0;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
790600;Crítico;Operativo 2023 Instancia II;2°;2°;A;No;4;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
790606;Crítico;Operativo 2023 Instancia II;2°;2°;A;Si;0;0;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
790619;Crítico;Operativo 2023 Instancia II;2°;2°;A;No;12;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
790623;Crítico;Operativo 2023 Instancia II;2°;2°;A;No;7;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
790634;Crítico;Operativo 2023 Instancia II;2°;2°;A;No;12;2;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793110;Básico;Operativo 2023 Instancia II;2°;2°;A;No;25;2;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
803417;Crítico;Operativo 2023 Instancia II;2°;2°;A;No;11;2;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
593843;Crítico;Operativo 2023 Instancia II;2°;2°;B;No;7;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
603742;Medio;Operativo 2023 Instancia II;2°;2°;B;No;48;3;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
624320;Básico;Operativo 2023 Instancia II;2°;2°;B;No;25;2;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
624334;Crítico;Operativo 2023 Instancia II;2°;2°;B;No;6;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
625637;Crítico;Operativo 2023 Instancia II;2°;2°;B;No;2;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
627343;Crítico;Operativo 2023 Instancia II;2°;2°;B;No;3;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
684367;Básico;Operativo 2023 Instancia II;2°;2°;B;No;17;2;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
729004;Crítico;Operativo 2023 Instancia II;2°;2°;B;No;5;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
745994;Medio;Operativo 2023 Instancia II;2°;2°;B;No;59;3;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
784048;Crítico;Operativo 2023 Instancia II;2°;2°;B;Si;0;0;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
784155;Básico;Operativo 2023 Instancia II;2°;2°;B;No;27;3;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
784258;Crítico;Operativo 2023 Instancia II;2°;2°;B;Si;0;0;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
784356;Crítico;Operativo 2023 Instancia II;2°;2°;B;No;7;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
787632;Crítico;Operativo 2023 Instancia II;2°;2°;B;Si;0;0;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
787662;Crítico;Operativo 2023 Instancia II;2°;2°;B;No;7;2;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
790244;Crítico;Operativo 2023 Instancia II;2°;2°;B;No;10;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
790548;Medio;Operativo 2023 Instancia II;2°;2°;B;No;49;3;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
790590;Crítico;Operativo 2023 Instancia II;2°;2°;B;No;2;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
792061;Crítico;Operativo 2023 Instancia II;2°;2°;B;No;8;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793105;Crítico;Operativo 2023 Instancia II;2°;2°;B;No;2;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793106;Medio;Operativo 2023 Instancia II;2°;2°;B;No;47;2;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793113;Crítico;Operativo 2023 Instancia II;2°;2°;B;No;3;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793116;Crítico;Operativo 2023 Instancia II;2°;2°;B;Si;0;0;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793117;Crítico;Operativo 2023 Instancia II;2°;2°;B;No;3;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793119;Crítico;Operativo 2023 Instancia II;2°;2°;B;No;7;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793121;Básico;Operativo 2023 Instancia II;2°;2°;B;No;45;2;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793122;Básico;Operativo 2023 Instancia II;2°;2°;B;No;17;2;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793178;Crítico;Operativo 2023 Instancia II;2°;2°;B;No;13;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793183;Medio;Operativo 2023 Instancia II;2°;2°;B;No;64;2;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793204;Crítico;Operativo 2023 Instancia II;2°;2°;B;No;12;2;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793211;Crítico;Operativo 2023 Instancia II;2°;2°;B;No;8;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793215;Crítico;Operativo 2023 Instancia II;2°;2°;B;No;6;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
869670;Crítico;Operativo 2023 Instancia II;2°;2°;B;No;0;1;No;Mañana;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
519184;Crítico;Operativo 2023 Instancia II;2°;2°;C;No;10;1;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
606377;Medio;Operativo 2023 Instancia II;2°;2°;C;No;50;2;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
625018;Crítico;Operativo 2023 Instancia II;2°;2°;C;No;1;1;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
625130;Básico;Operativo 2023 Instancia II;2°;2°;C;No;40;2;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
629189;Medio;Operativo 2023 Instancia II;2°;2°;C;No;55;3;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
697069;Básico;Operativo 2023 Instancia II;2°;2°;C;No;20;2;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
749762;Básico;Operativo 2023 Instancia II;2°;2°;C;No;17;2;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
756830;Básico;Operativo 2023 Instancia II;2°;2°;C;No;29;2;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
760889;Crítico;Operativo 2023 Instancia II;2°;2°;C;No;0;1;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
763255;Básico;Operativo 2023 Instancia II;2°;2°;C;No;44;2;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
763462;Crítico;Operativo 2023 Instancia II;2°;2°;C;No;3;1;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
778677;Crítico;Operativo 2023 Instancia II;2°;2°;C;No;9;2;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
782563;Básico;Operativo 2023 Instancia II;2°;2°;C;No;36;2;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
785966;Básico;Operativo 2023 Instancia II;2°;2°;C;No;40;2;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
787736;Crítico;Operativo 2023 Instancia II;2°;2°;C;No;1;1;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
789397;Crítico;Operativo 2023 Instancia II;2°;2°;C;No;10;2;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
791326;Crítico;Operativo 2023 Instancia II;2°;2°;C;No;0;1;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793115;Crítico;Operativo 2023 Instancia II;2°;2°;C;No;1;1;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793123;Crítico;Operativo 2023 Instancia II;2°;2°;C;Si;0;0;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793124;Crítico;Operativo 2023 Instancia II;2°;2°;C;No;0;1;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793127;Crítico;Operativo 2023 Instancia II;2°;2°;C;No;1;1;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793128;Básico;Operativo 2023 Instancia II;2°;2°;C;No;20;1;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793189;Crítico;Operativo 2023 Instancia II;2°;2°;C;No;1;1;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
793197;Crítico;Operativo 2023 Instancia II;2°;2°;C;No;0;1;No;Tarde;Presencial;Primario;Primario;Pública;03 - Primario;9;LAS HERAS;LAS HERAS;10%;NORTE;2023;"**"
