Nivel_Unificado;CURSO_NORMALIZADO;Total_Alumnos_por_Nivel_CURSO_NORMALIZADO;DESEMPEÑO;Total_Alumnos_por_Tipo_de_Desempeño;Desempeño_por_Nivel_CURSO_NORMALIZADO
Primario;2°;4581;Avanzado;423;9.23
Primario;2°;4581;Básico;1302;28.42
Primario;2°;4581;Crítico;2169;47.35
Primario;2°;4581;Medio;687;15.0
Primario;3°;4733;Avanzado;1213;25.63
Primario;3°;4733;Básico;1210;25.57
Primario;3°;4733;Crítico;1047;22.12
Primario;3°;4733;Medio;1263;26.68
Primario;4°;4473;Avanzado;1393;31.14
Primario;4°;4473;Básico;939;20.99
Primario;4°;4473;Crítico;732;16.36
Primario;4°;4473;Medio;1409;31.5
Primario;5°;4485;Avanzado;863;19.24
Primario;5°;4485;Básico;1073;23.92
Primario;5°;4485;Crítico;1074;23.95
Primario;5°;4485;Medio;1475;32.89
Primario;6°;4382;Avanzado;1530;34.92
Primario;6°;4382;Básico;674;15.38
Primario;6°;4382;Crítico;502;11.46
Primario;6°;4382;Medio;1676;38.25
Primario;7°;4563;Avanzado;976;21.39
Primario;7°;4563;Básico;915;20.05
Primario;7°;4563;Crítico;652;14.29
Primario;7°;4563;Medio;2020;44.27
Secundario;1°;10848;Avanzado;1411;13.01
Secundario;1°;10848;Básico;2271;20.93
Secundario;1°;10848;Crítico;1998;18.42
Secundario;1°;10848;Medio;5168;47.64
Secundario;2°;10617;Avanzado;1398;13.17
Secundario;2°;10617;Básico;2874;27.07
Secundario;2°;10617;Crítico;3028;28.52
Secundario;2°;10617;Medio;3317;31.24
Secundario;3°;10054;Avanzado;1208;12.02
Secundario;3°;10054;Básico;2071;20.6
Secundario;3°;10054;Crítico;4060;40.38
Secundario;3°;10054;Medio;2715;27.0
Secundario;4°;8294;Avanzado;1018;12.27
Secundario;4°;8294;Básico;2220;26.77
Secundario;4°;8294;Crítico;2551;30.76
Secundario;4°;8294;Medio;2505;30.2
Secundario;5°;7275;Avanzado;662;9.1
Secundario;5°;7275;Básico;2228;30.63
Secundario;5°;7275;Crítico;2420;33.26
Secundario;5°;7275;Medio;1965;27.01
Secundario;6°;2142;Avanzado;190;8.87
Secundario;6°;2142;Básico;503;23.48
Secundario;6°;2142;Crítico;816;38.1
Secundario;6°;2142;Medio;633;29.55
