Supervisión;CURSO_NORMALIZADO;Total_Alumnos_por_Supervisión_CURSO_NORMALIZADO;DESEMPEÑO;Total_Alumnos_por_Tipo_de_Desempeño;Desempeño_por_Supervisión_CURSO_NORMALIZADO
01 - Primario;2°;599;Avanzado;45;7.51
01 - Primario;2°;599;Básico;144;24.04
01 - Primario;2°;599;Crítico;349;58.26
01 - Primario;2°;599;Medio;61;10.18
01 - Primario;3°;722;Avanzado;140;19.39
01 - Primario;3°;722;Básico;188;26.04
01 - Primario;3°;722;Crítico;232;32.13
01 - Primario;3°;722;Medio;162;22.44
01 - Primario;4°;627;Avanzado;152;24.24
01 - Primario;4°;627;Básico;154;24.56
01 - Primario;4°;627;Crítico;126;20.1
01 - Primario;4°;627;Medio;195;31.1
01 - Primario;5°;579;Avanzado;78;13.47
01 - Primario;5°;579;Básico;149;25.73
01 - Primario;5°;579;Crítico;179;30.92
01 - Primario;5°;579;Medio;173;29.88
01 - Primario;6°;691;Avanzado;177;25.62
01 - Primario;6°;691;Básico;136;19.68
01 - Primario;6°;691;Crítico;99;14.33
01 - Primario;6°;691;Medio;279;40.38
01 - Primario;7°;616;Avanzado;119;19.32
01 - Primario;7°;616;Básico;132;21.43
01 - Primario;7°;616;Crítico;92;14.94
01 - Primario;7°;616;Medio;273;44.32
01 - Primario Privada;2°;859;Avanzado;122;14.2
01 - Primario Privada;2°;859;Básico;275;32.01
01 - Primario Privada;2°;859;Crítico;287;33.41
01 - Primario Privada;2°;859;Medio;175;20.37
01 - Primario Privada;3°;938;Avanzado;342;36.46
01 - Primario Privada;3°;938;Básico;196;20.9
01 - Primario Privada;3°;938;Crítico;99;10.55
01 - Primario Privada;3°;938;Medio;301;32.09
01 - Primario Privada;4°;901;Avanzado;380;42.18
01 - Primario Privada;4°;901;Básico;164;18.2
01 - Primario Privada;4°;901;Crítico;82;9.1
01 - Primario Privada;4°;901;Medio;275;30.52
01 - Primario Privada;5°;932;Avanzado;250;26.82
01 - Primario Privada;5°;932;Básico;217;23.28
01 - Primario Privada;5°;932;Crítico;118;12.66
01 - Primario Privada;5°;932;Medio;347;37.23
01 - Primario Privada;6°;886;Avanzado;433;48.87
01 - Primario Privada;6°;886;Básico;89;10.05
01 - Primario Privada;6°;886;Crítico;61;6.88
01 - Primario Privada;6°;886;Medio;303;34.2
01 - Primario Privada;7°;964;Avanzado;276;28.63
01 - Primario Privada;7°;964;Básico;163;16.91
01 - Primario Privada;7°;964;Crítico;71;7.37
01 - Primario Privada;7°;964;Medio;454;47.1
01 - Secundario Orientado;1°;1143;Avanzado;128;11.2
01 - Secundario Orientado;1°;1143;Básico;259;22.66
01 - Secundario Orientado;1°;1143;Crítico;266;23.27
01 - Secundario Orientado;1°;1143;Medio;490;42.87
01 - Secundario Orientado;2°;1080;Avanzado;93;8.61
01 - Secundario Orientado;2°;1080;Básico;284;26.3
01 - Secundario Orientado;2°;1080;Crítico;421;38.98
01 - Secundario Orientado;2°;1080;Medio;282;26.11
01 - Secundario Orientado;3°;1080;Avanzado;75;6.94
01 - Secundario Orientado;3°;1080;Básico;211;19.54
01 - Secundario Orientado;3°;1080;Crítico;565;52.31
01 - Secundario Orientado;3°;1080;Medio;229;21.2
01 - Secundario Orientado;4°;906;Avanzado;76;8.39
01 - Secundario Orientado;4°;906;Básico;217;23.95
01 - Secundario Orientado;4°;906;Crítico;372;41.06
01 - Secundario Orientado;4°;906;Medio;241;26.6
01 - Secundario Orientado;5°;777;Avanzado;55;7.08
01 - Secundario Orientado;5°;777;Básico;225;28.96
01 - Secundario Orientado;5°;777;Crítico;330;42.47
01 - Secundario Orientado;5°;777;Medio;167;21.49
01 - Secundario Orientado Privada;1°;1138;Avanzado;197;17.31
01 - Secundario Orientado Privada;1°;1138;Básico;172;15.11
01 - Secundario Orientado Privada;1°;1138;Crítico;65;5.71
01 - Secundario Orientado Privada;1°;1138;Medio;704;61.86
01 - Secundario Orientado Privada;2°;1159;Avanzado;253;21.83
01 - Secundario Orientado Privada;2°;1159;Básico;273;23.55
01 - Secundario Orientado Privada;2°;1159;Crítico;118;10.18
01 - Secundario Orientado Privada;2°;1159;Medio;515;44.43
01 - Secundario Orientado Privada;3°;1028;Avanzado;163;15.86
01 - Secundario Orientado Privada;3°;1028;Básico;251;24.42
01 - Secundario Orientado Privada;3°;1028;Crítico;191;18.58
01 - Secundario Orientado Privada;3°;1028;Medio;423;41.15
01 - Secundario Orientado Privada;4°;941;Avanzado;149;15.83
01 - Secundario Orientado Privada;4°;941;Básico;244;25.93
01 - Secundario Orientado Privada;4°;941;Crítico;120;12.75
01 - Secundario Orientado Privada;4°;941;Medio;428;45.48
01 - Secundario Orientado Privada;5°;909;Avanzado;80;8.8
01 - Secundario Orientado Privada;5°;909;Básico;306;33.66
01 - Secundario Orientado Privada;5°;909;Crítico;132;14.52
01 - Secundario Orientado Privada;5°;909;Medio;391;43.01
01 - Secundario Técnico;1°;1662;Avanzado;184;11.07
01 - Secundario Técnico;1°;1662;Básico;378;22.74
01 - Secundario Técnico;1°;1662;Crítico;324;19.49
01 - Secundario Técnico;1°;1662;Medio;776;46.69
01 - Secundario Técnico;2°;1699;Avanzado;134;7.89
01 - Secundario Técnico;2°;1699;Básico;457;26.9
01 - Secundario Técnico;2°;1699;Crítico;623;36.67
01 - Secundario Técnico;2°;1699;Medio;485;28.55
01 - Secundario Técnico;3°;1557;Avanzado;113;7.26
01 - Secundario Técnico;3°;1557;Básico;272;17.47
01 - Secundario Técnico;3°;1557;Crítico;781;50.16
01 - Secundario Técnico;3°;1557;Medio;391;25.11
01 - Secundario Técnico;4°;1129;Avanzado;91;8.06
01 - Secundario Técnico;4°;1129;Básico;308;27.28
01 - Secundario Técnico;4°;1129;Crítico;398;35.25
01 - Secundario Técnico;4°;1129;Medio;332;29.41
01 - Secundario Técnico;5°;1005;Avanzado;32;3.18
01 - Secundario Técnico;5°;1005;Básico;308;30.65
01 - Secundario Técnico;5°;1005;Crítico;431;42.89
01 - Secundario Técnico;5°;1005;Medio;234;23.28
01 - Secundario Técnico;6°;828;Avanzado;34;4.11
01 - Secundario Técnico;6°;828;Básico;174;21.01
01 - Secundario Técnico;6°;828;Crítico;303;36.59
01 - Secundario Técnico;6°;828;Medio;317;38.29
02 - Primario;2°;768;Avanzado;62;8.07
02 - Primario;2°;768;Básico;184;23.96
02 - Primario;2°;768;Crítico;441;57.42
02 - Primario;2°;768;Medio;81;10.55
02 - Primario;3°;774;Avanzado;154;19.9
02 - Primario;3°;774;Básico;214;27.65
02 - Primario;3°;774;Crítico;229;29.59
02 - Primario;3°;774;Medio;177;22.87
02 - Primario;4°;745;Avanzado;192;25.77
02 - Primario;4°;745;Básico;161;21.61
02 - Primario;4°;745;Crítico;135;18.12
02 - Primario;4°;745;Medio;257;34.5
02 - Primario;5°;747;Avanzado;137;18.34
02 - Primario;5°;747;Básico;186;24.9
02 - Primario;5°;747;Crítico;180;24.1
02 - Primario;5°;747;Medio;244;32.66
02 - Primario;6°;737;Avanzado;231;31.34
02 - Primario;6°;737;Básico;122;16.55
02 - Primario;6°;737;Crítico;87;11.8
02 - Primario;6°;737;Medio;297;40.3
02 - Primario;7°;775;Avanzado;155;20.0
02 - Primario;7°;775;Básico;166;21.42
02 - Primario;7°;775;Crítico;123;15.87
02 - Primario;7°;775;Medio;331;42.71
02 - Primario Privada;2°;650;Avanzado;52;8.0
02 - Primario Privada;2°;650;Básico;219;33.69
02 - Primario Privada;2°;650;Crítico;281;43.23
02 - Primario Privada;2°;650;Medio;98;15.08
02 - Primario Privada;3°;640;Avanzado;162;25.31
02 - Primario Privada;3°;640;Básico;195;30.47
02 - Primario Privada;3°;640;Crítico;97;15.16
02 - Primario Privada;3°;640;Medio;186;29.06
02 - Primario Privada;4°;577;Avanzado;204;35.36
02 - Primario Privada;4°;577;Básico;113;19.58
02 - Primario Privada;4°;577;Crítico;73;12.65
