Nivel_Unificado;CURSO_NORMALIZADO;DESEMPEÑO;Alumno_ID
Primario;2°;Avanzado;423
Primario;2°;Básico;1302
Primario;2°;Crítico;2169
Primario;2°;Medio;687
Primario;3°;Avanzado;1213
Primario;3°;Básico;1210
Primario;3°;Crítico;1047
Primario;3°;Medio;1263
Primario;4°;Avanzado;1393
Primario;4°;Básico;939
Primario;4°;Crítico;732
Primario;4°;Medio;1409
Primario;5°;Avanzado;863
Primario;5°;Básico;1073
Primario;5°;Crítico;1074
Primario;5°;Medio;1475
Primario;6°;Avanzado;1530
Primario;6°;Básico;674
Primario;6°;Crítico;502
Primario;6°;Medio;1676
Primario;7°;Avanzado;976
Primario;7°;Básico;915
Primario;7°;Crítico;652
Primario;7°;Medio;2020
Secundario;1°;Avanzado;1411
Secundario;1°;Básico;2271
Secundario;1°;Crítico;1998
Secundario;1°;Medio;5168
Secundario;2°;Avanzado;1398
Secundario;2°;Básico;2874
Secundario;2°;Crítico;3028
Secundario;2°;Medio;3317
Secundario;3°;Avanzado;1208
Secundario;3°;Básico;2071
Secundario;3°;Crítico;4060
Secundario;3°;Medio;2715
Secundario;4°;Avanzado;1018
Secundario;4°;Básico;2220
Secundario;4°;Crítico;2551
Secundario;4°;Medio;2505
Secundario;5°;Avanzado;662
Secundario;5°;Básico;2228
Secundario;5°;Crítico;2420
Secundario;5°;Medio;1965
Secundario;6°;Avanzado;190
Secundario;6°;Básico;503
Secundario;6°;Crítico;816
Secundario;6°;Medio;633
