Supervisión;CURSO_NORMALIZADO;DESEMPEÑO;Alumno_ID
01 - Primario;2°;Avanzado;45
01 - Primario;2°;Básico;144
01 - Primario;2°;Crítico;349
01 - Primario;2°;Medio;61
01 - Primario;3°;Avanzado;140
01 - Primario;3°;Básico;188
01 - Primario;3°;Crítico;232
01 - Primario;3°;Medio;162
01 - Primario;4°;Avanzado;152
01 - Primario;4°;Básico;154
01 - Primario;4°;Crítico;126
01 - Primario;4°;Medio;195
01 - Primario;5°;Avanzado;78
01 - Primario;5°;Básico;149
01 - Primario;5°;Crítico;179
01 - Primario;5°;Medio;173
01 - Primario;6°;Avanzado;177
01 - Primario;6°;Básico;136
01 - Primario;6°;Crítico;99
01 - Primario;6°;Medio;279
01 - Primario;7°;Avanzado;119
01 - Primario;7°;Básico;132
01 - Primario;7°;Crítico;92
01 - Primario;7°;Medio;273
01 - Primario Privada;2°;Avanzado;122
01 - Primario Privada;2°;Básico;275
01 - Primario Privada;2°;Crítico;287
01 - Primario Privada;2°;Medio;175
01 - Primario Privada;3°;Avanzado;342
01 - Primario Privada;3°;Básico;196
01 - Primario Privada;3°;Crítico;99
01 - Primario Privada;3°;Medio;301
01 - Primario Privada;4°;Avanzado;380
01 - Primario Privada;4°;Básico;164
01 - Primario Privada;4°;Crítico;82
01 - Primario Privada;4°;Medio;275
01 - Primario Privada;5°;Avanzado;250
01 - Primario Privada;5°;Básico;217
01 - Primario Privada;5°;Crítico;118
01 - Primario Privada;5°;Medio;347
01 - Primario Privada;6°;Avanzado;433
01 - Primario Privada;6°;Básico;89
01 - Primario Privada;6°;Crítico;61
01 - Primario Privada;6°;Medio;303
01 - Primario Privada;7°;Avanzado;276
01 - Primario Privada;7°;Básico;163
01 - Primario Privada;7°;Crítico;71
01 - Primario Privada;7°;Medio;454
01 - Secundario Orientado;1°;Avanzado;128
01 - Secundario Orientado;1°;Básico;259
01 - Secundario Orientado;1°;Crítico;266
01 - Secundario Orientado;1°;Medio;490
01 - Secundario Orientado;2°;Avanzado;93
01 - Secundario Orientado;2°;Básico;284
01 - Secundario Orientado;2°;Crítico;421
01 - Secundario Orientado;2°;Medio;282
01 - Secundario Orientado;3°;Avanzado;75
01 - Secundario Orientado;3°;Básico;211
01 - Secundario Orientado;3°;Crítico;565
01 - Secundario Orientado;3°;Medio;229
01 - Secundario Orientado;4°;Avanzado;76
01 - Secundario Orientado;4°;Básico;217
01 - Secundario Orientado;4°;Crítico;372
01 - Secundario Orientado;4°;Medio;241
01 - Secundario Orientado;5°;Avanzado;55
01 - Secundario Orientado;5°;Básico;225
01 - Secundario Orientado;5°;Crítico;330
01 - Secundario Orientado;5°;Medio;167
01 - Secundario Orientado Privada;1°;Avanzado;197
01 - Secundario Orientado Privada;1°;Básico;172
01 - Secundario Orientado Privada;1°;Crítico;65
01 - Secundario Orientado Privada;1°;Medio;704
01 - Secundario Orientado Privada;2°;Avanzado;253
01 - Secundario Orientado Privada;2°;Básico;273
01 - Secundario Orientado Privada;2°;Crítico;118
01 - Secundario Orientado Privada;2°;Medio;515
01 - Secundario Orientado Privada;3°;Avanzado;163
01 - Secundario Orientado Privada;3°;Básico;251
01 - Secundario Orientado Privada;3°;Crítico;191
