ciclo_lectivo;Alumno_ID;Sexo;Edad;Edad_Correcta;CURSO_NORMALIZADO;Curso;División;Turno;Modalidad;Nivel;Nivel_Unificado;Gestión;Supervisión;Escuela_ID;Departamento;Localidad;zona;AMBITO;Regional
2023;520346;Masculino;6;6;1°;1°;B;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;624670;Masculino;7;7;1°;1°;B;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;625630;Masculino;6;6;1°;1°;A;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;626235;Femenino;7;7;1°;1°;A;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;724260;Femenino;7;7;1°;1°;C;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;730148;Masculino;7;7;1°;1°;A;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;750455;Femenino;6;6;1°;1°;C;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;760601;Masculino;6;6;1°;1°;A;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;766721;Masculino;7;7;1°;1°;A;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;769440;Masculino;6;6;1°;1°;B;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;803813;Masculino;7;7;1°;1°;B;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;804331;Femenino;7;7;1°;1°;B;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;805163;Femenino;6;6;1°;1°;C;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;809164;Masculino;6;6;1°;1°;C;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;809669;Masculino;7;7;1°;1°;A;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;829957;Femenino;6;6;1°;1°;C;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;836603;Masculino;6;6;1°;1°;B;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;836612;Masculino;6;6;1°;1°;C;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;840139;Masculino;6;6;1°;1°;C;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;841091;Masculino;6;6;1°;1°;C;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;841348;Masculino;6;6;1°;1°;A;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;849232;Femenino;7;7;1°;1°;A;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;849387;Masculino;6;6;1°;1°;B;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;850984;Masculino;6;6;1°;1°;B;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;853003;Masculino;6;6;1°;1°;C;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;854616;Femenino;6;6;1°;1°;B;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;855558;Masculino;7;7;1°;1°;B;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;857329;Masculino;6;6;1°;1°;B;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;859213;Femenino;6;6;1°;1°;A;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
2023;859419;Masculino;6;6;1°;1°;B;Mañana;Presencial;Primario;Primario;Privada;01 - Primario Privada;2565;CAPITAL;TERCERA SECCION;10%;Urbano;"NO CORRESPONDE"
