Escuela_ID;Total_Alumnos_por_Escuela_ID;DESEMPEÑO;Total_Alumnos_por_Tipo_de_Desempeño;Desempeño_por_Escuela
9;697;Avanzado;74;10.62
9;697;Básico;195;27.98
9;697;Crítico;246;35.29
9;697;Medio;182;26.11
14;333;Avanzado;94;28.23
14;333;Básico;69;20.72
14;333;Crítico;72;21.62
14;333;Medio;98;29.43
22;483;Avanzado;111;22.98
22;483;Básico;101;20.91
22;483;Crítico;133;27.54
22;483;Medio;138;28.57
60;197;Avanzado;44;22.34
60;197;Básico;50;25.38
60;197;Crítico;37;18.78
60;197;Medio;66;33.5
74;687;Avanzado;186;27.07
74;687;Básico;165;24.02
74;687;Crítico;110;16.01
74;687;Medio;226;32.9
194;305;Avanzado;26;8.52
194;305;Básico;68;22.3
194;305;Crítico;153;50.16
194;305;Medio;58;19.02
197;625;Avanzado;79;12.64
197;625;Básico;104;16.64
197;625;Crítico;251;40.16
197;625;Medio;191;30.56
210;438;Avanzado;68;15.53
210;438;Básico;95;21.69
210;438;Crítico;166;37.9
210;438;Medio;109;24.89
250;335;Avanzado;54;16.12
250;335;Básico;102;30.45
250;335;Crítico;59;17.61
250;335;Medio;120;35.82
253;469;Avanzado;90;19.19
253;469;Básico;134;28.57
253;469;Crítico;118;25.16
253;469;Medio;127;27.08
288;58;Avanzado;5;8.62
288;58;Básico;18;31.03
288;58;Crítico;25;43.1
288;58;Medio;10;17.24
346;586;Avanzado;56;9.56
346;586;Básico;149;25.43
346;586;Crítico;245;41.81
346;586;Medio;136;23.21
378;199;Avanzado;25;12.56
378;199;Básico;47;23.62
378;199;Crítico;69;34.67
378;199;Medio;58;29.15
384;435;Avanzado;74;17.01
384;435;Básico;110;25.29
384;435;Crítico;122;28.05
384;435;Medio;129;29.66
392;510;Avanzado;80;15.69
392;510;Básico;86;16.86
392;510;Crítico;204;40.0
392;510;Medio;140;27.45
393;332;Avanzado;83;25.0
393;332;Básico;78;23.49
393;332;Crítico;55;16.57
393;332;Medio;116;34.94
417;516;Avanzado;52;10.08
417;516;Básico;135;26.16
417;516;Crítico;209;40.5
417;516;Medio;120;23.26
457;117;Avanzado;1;0.85
457;117;Básico;30;25.64
457;117;Crítico;65;55.56
457;117;Medio;21;17.95
461;122;Avanzado;2;1.64
461;122;Básico;26;21.31
461;122;Crítico;77;63.11
461;122;Medio;17;13.93
477;146;Avanzado;27;18.49
477;146;Básico;28;19.18
477;146;Crítico;70;47.95
477;146;Medio;21;14.38
478;321;Avanzado;20;6.23
478;321;Básico;84;26.17
478;321;Crítico;170;52.96
478;321;Medio;47;14.64
485;276;Avanzado;13;4.71
485;276;Básico;71;25.72
485;276;Crítico;143;51.81
485;276;Medio;49;17.75
486;350;Avanzado;21;6.0
486;350;Básico;114;32.57
486;350;Crítico;131;37.43
486;350;Medio;84;24.0
494;171;Avanzado;8;4.68
494;171;Básico;42;24.56
494;171;Crítico;81;47.37
494;171;Medio;40;23.39
511;78;Básico;5;6.41
511;78;Crítico;69;88.46
511;78;Medio;4;5.13
514;416;Avanzado;31;7.45
514;416;Básico;124;29.81
514;416;Crítico;172;41.35
514;416;Medio;89;21.39
552;318;Avanzado;18;5.66
552;318;Básico;70;22.01
552;318;Crítico;165;51.89
552;318;Medio;65;20.44
582;324;Avanzado;44;13.58
582;324;Básico;88;27.16
582;324;Crítico;88;27.16
582;324;Medio;104;32.1
621;172;Básico;26;15.12
621;172;Crítico;140;81.4
621;172;Medio;6;3.49
989;980;Avanzado;206;21.02
989;980;Básico;202;20.61
989;980;Crítico;125;12.76
989;980;Medio;447;45.61
990;637;Avanzado;52;8.16
990;637;Básico;194;30.46
990;637;Crítico;108;16.95
990;637;Medio;283;44.43
991;808;Avanzado;95;11.76
991;808;Básico;172;21.29
991;808;Crítico;119;14.73
991;808;Medio;422;52.23
993;720;Avanzado;57;7.92
993;720;Básico;206;28.61
993;720;Crítico;262;36.39
993;720;Medio;195;27.08
997;702;Avanzado;23;3.28
997;702;Básico;144;20.51
997;702;Crítico;455;64.81
997;702;Medio;80;11.4
1004;1084;Avanzado;252;23.25
1004;1084;Básico;194;17.9
1004;1084;Crítico;105;9.69
1004;1084;Medio;533;49.17
1008;681;Avanzado;60;8.81
1008;681;Básico;188;27.61
1008;681;Crítico;195;28.63
1008;681;Medio;238;34.95
1010;494;Avanzado;44;8.91
1010;494;Básico;141;28.54
1010;494;Crítico;173;35.02
1010;494;Medio;136;27.53
1012;503;Avanzado;61;12.13
1012;503;Básico;138;27.44
1012;503;Crítico;112;22.27
1012;503;Medio;192;38.17
1015;316;Avanzado;29;9.18
1015;316;Básico;69;21.84
1015;316;Crítico;107;33.86
1015;316;Medio;111;35.13
1022;267;Avanzado;21;7.87
1022;267;Básico;73;27.34
1022;267;Crítico;100;37.45
1022;267;Medio;73;27.34
1023;1063;Avanzado;76;7.15
1023;1063;Básico;194;18.25
1023;1063;Crítico;526;49.48
1023;1063;Medio;267;25.12
1024;237;Avanzado;9;3.8
1024;237;Básico;22;9.28
1024;237;Crítico;175;73.84
1024;237;Medio;31;13.08
1026;587;Avanzado;12;2.04
1026;587;Básico;219;37.31
1026;587;Crítico;203;34.58
1026;587;Medio;153;26.06
1027;287;Avanzado;12;4.18
1027;287;Básico;106;36.93
1027;287;Crítico;98;34.15
1027;287;Medio;71;24.74
1034;491;Avanzado;38;7.74
1034;491;Básico;137;27.9
1034;491;Crítico;103;20.98
1034;491;Medio;213;43.38
1037;417;Avanzado;21;5.04
1037;417;Básico;150;35.97
1037;417;Crítico;123;29.5
1037;417;Medio;123;29.5
1038;366;Avanzado;23;6.28
1038;366;Básico;117;31.97
1038;366;Crítico;103;28.14
1038;366;Medio;123;33.61
1043;653;Avanzado;97;14.85
1043;653;Básico;143;21.9
1043;653;Crítico;59;9.04
1043;653;Medio;354;54.21
1050;638;Avanzado;103;16.14
1050;638;Básico;167;26.18
1050;638;Crítico;122;19.12
1050;638;Medio;246;38.56
1052;773;Avanzado;32;4.14
1052;773;Básico;275;35.58
1052;773;Crítico;216;27.94
1052;773;Medio;250;32.34
1053;602;Avanzado;95;15.78
1053;602;Básico;149;24.75
1053;602;Crítico;189;31.4
1053;602;Medio;169;28.07
1054;563;Avanzado;22;3.91
1054;563;Básico;169;30.02
1054;563;Crítico;256;45.47
1054;563;Medio;116;20.6
1055;448;Avanzado;10;2.23
1055;448;Básico;113;25.22
1055;448;Crítico;246;54.91
1055;448;Medio;79;17.63
1065;630;Avanzado;61;9.68
1065;630;Básico;138;21.9
1065;630;Crítico;260;41.27
1065;630;Medio;171;27.14
1066;399;Avanzado;21;5.26
1066;399;Básico;130;32.58
1066;399;Crítico;131;32.83
1066;399;Medio;117;29.32
1069;576;Avanzado;28;4.86
1069;576;Básico;164;28.47
1069;576;Crítico;168;29.17
1069;576;Medio;216;37.5
1070;96;Avanzado;1;1.04
1070;96;Básico;2;2.08
1070;96;Crítico;92;95.83
1070;96;Medio;1;1.04
1073;844;Avanzado;39;4.62
1073;844;Básico;204;24.17
1073;844;Crítico;419;49.64
1073;844;Medio;182;21.56
1074;23;Básico;1;4.35
1074;23;Crítico;21;91.3
1074;23;Medio;1;4.35
1080;638;Avanzado;25;3.92
1080;638;Básico;204;31.97
1080;638;Crítico;268;42.01
1080;638;Medio;141;22.1
1092;980;Avanzado;118;12.04
1092;980;Básico;126;12.86
1092;980;Crítico;438;44.69
1092;980;Medio;298;30.41
1096;919;Avanzado;62;6.75
1096;919;Básico;246;26.77
1096;919;Crítico;385;41.89
1096;919;Medio;226;24.59
1098;492;Avanzado;26;5.28
1098;492;Básico;141;28.66
1098;492;Crítico;208;42.28
1098;492;Medio;117;23.78
1099;1635;Avanzado;172;10.52
1099;1635;Básico;302;18.47
1099;1635;Crítico;608;37.19
1099;1635;Medio;553;33.82
1103;467;Avanzado;50;10.71
1103;467;Básico;136;29.12
1103;467;Crítico;104;22.27
1103;467;Medio;177;37.9
1106;1121;Avanzado;46;4.1
1106;1121;Básico;344;30.69
1106;1121;Crítico;422;37.64
1106;1121;Medio;309;27.56
1107;513;Avanzado;30;5.85
1107;513;Básico;169;32.94
1107;513;Crítico;158;30.8
1107;513;Medio;156;30.41
1108;760;Avanzado;90;11.84
1108;760;Básico;241;31.71
1108;760;Crítico;157;20.66
1108;760;Medio;272;35.79
1109;855;Avanzado;26;3.04
1109;855;Básico;294;34.39
1109;855;Crítico;326;38.13
1109;855;Medio;209;24.44
1110;513;Avanzado;95;18.52
1110;513;Básico;130;25.34
1110;513;Crítico;63;12.28
1110;513;Medio;225;43.86
1111;441;Avanzado;10;2.27
1111;441;Básico;151;34.24
1111;441;Crítico;166;37.64
1111;441;Medio;114;25.85
1116;668;Avanzado;75;11.23
1116;668;Básico;187;27.99
1116;668;Crítico;151;22.6
1116;668;Medio;255;38.17
1120;612;Avanzado;65;10.62
1120;612;Básico;161;26.31
1120;612;Crítico;116;18.95
1120;612;Medio;270;44.12
1121;545;Avanzado;63;11.56
1121;545;Básico;122;22.39
1121;545;Crítico;191;35.05
1121;545;Medio;169;31.01
1125;366;Avanzado;6;1.64
1125;366;Básico;55;15.03
1125;366;Crítico;224;61.2
1125;366;Medio;81;22.13
1133;577;Avanzado;39;6.76
1133;577;Básico;202;35.01
