Supervisión;CURSO_NORMALIZADO;Alumno_ID
01 - Primario;2°;599
01 - Primario;3°;722
01 - Primario;4°;627
01 - Primario;5°;579
01 - Primario;6°;691
01 - Primario;7°;616
01 - Primario Privada;2°;859
01 - Primario Privada;3°;938
01 - Primario Privada;4°;901
01 - Primario Privada;5°;932
01 - Primario Privada;6°;886
01 - Primario Privada;7°;964
01 - Secundario Orientado;1°;1143
01 - Secundario Orientado;2°;1080
01 - Secundario Orientado;3°;1080
01 - Secundario Orientado;4°;906
01 - Secundario Orientado;5°;777
01 - Secundario Orientado Privada;1°;1138
01 - Secundario Orientado Privada;2°;1159
01 - Secundario Orientado Privada;3°;1028
01 - Secundario Orientado Privada;4°;941
01 - Secundario Orientado Privada;5°;909
01 - Secundario Técnico;1°;1662
01 - Secundario Técnico;2°;1699
01 - Secundario Técnico;3°;1557
01 - Secundario Técnico;4°;1129
01 - Secundario Técnico;5°;1005
01 - Secundario Técnico;6°;828
02 - Primario;2°;768
02 - Primario;3°;774
02 - Primario;4°;745
02 - Primario;5°;747
02 - Primario;6°;737
02 - Primario;7°;775
02 - Primario Privada;2°;650
02 - Primario Privada;3°;640
02 - Primario Privada;4°;577
02 - Primario Privada;5°;657
02 - Primario Privada;6°;586
02 - Primario Privada;7°;619
02 - Secundario Orientado;1°;671
02 - Secundario Orientado;2°;634
02 - Secundario Orientado;3°;587
02 - Secundario Orientado;4°;510
02 - Secundario Orientado;5°;453
02 - Secundario Orientado Privada;1°;626
02 - Secundario Orientado Privada;2°;552
02 - Secundario Orientado Privada;3°;567
02 - Secundario Orientado Privada;4°;534
02 - Secundario Orientado Privada;5°;510
02 - Secundario Técnico;1°;1643
02 - Secundario Técnico;2°;1612
02 - Secundario Técnico;3°;1532
02 - Secundario Técnico;4°;1145
02 - Secundario Técnico;5°;927
02 - Secundario Técnico;6°;754
03 - Primario;2°;841
03 - Primario;3°;783
03 - Primario;4°;780
03 - Primario;5°;724
03 - Primario;6°;716
03 - Primario;7°;778
03 - Primario Privada;2°;864
03 - Primario Privada;3°;876
03 - Primario Privada;4°;843
03 - Primario Privada;5°;846
03 - Primario Privada;6°;766
03 - Primario Privada;7°;811
03 - Secundario Orientado;1°;1366
03 - Secundario Orientado;2°;1344
03 - Secundario Orientado;3°;1324
03 - Secundario Orientado;4°;1091
03 - Secundario Orientado;5°;937
03 - Secundario Orientado Privada;1°;906
03 - Secundario Orientado Privada;2°;874
03 - Secundario Orientado Privada;3°;916
03 - Secundario Orientado Privada;4°;767
03 - Secundario Orientado Privada;5°;766
03 - Secundario Técnico;1°;1693
03 - Secundario Técnico;2°;1663
03 - Secundario Técnico;3°;1463
03 - Secundario Técnico;4°;1271
03 - Secundario Técnico;5°;991
03 - Secundario Técnico;6°;560
