Escuela_ID;Total_Alumnos_por_Escuela_ID;DESEMPEÑO;Total_Alumnos_por_Tipo_de_Desempeño;Desempeño_por_Escuela
9;704;Avanzado;74;10.51
9;704;Básico;195;27.7
9;704;Crítico;246;34.94
9;704;Medio;182;25.85
14;340;Avanzado;94;27.65
14;340;Básico;69;20.29
14;340;Crítico;72;21.18
14;340;Medio;98;28.82
22;489;Avanzado;111;22.7
22;489;Básico;101;20.65
22;489;Crítico;133;27.2
22;489;Medio;138;28.22
60;204;Avanzado;44;21.57
60;204;Básico;50;24.51
60;204;Crítico;37;18.14
60;204;Medio;66;32.35
74;689;Avanzado;186;27.0
74;689;Básico;165;23.95
74;689;Crítico;110;15.97
74;689;Medio;226;32.8
194;306;Avanzado;26;8.5
194;306;Básico;68;22.22
194;306;Crítico;153;50.0
194;306;Medio;58;18.95
197;629;Avanzado;79;12.56
197;629;Básico;104;16.53
197;629;Crítico;251;39.9
197;629;Medio;191;30.37
210;447;Avanzado;68;15.21
210;447;Básico;95;21.25
210;447;Crítico;166;37.14
210;447;Medio;109;24.38
250;338;Avanzado;54;15.98
250;338;Básico;102;30.18
250;338;Crítico;59;17.46
250;338;Medio;120;35.5
253;475;Avanzado;90;18.95
253;475;Básico;134;28.21
253;475;Crítico;118;24.84
253;475;Medio;127;26.74
288;64;Avanzado;5;7.81
288;64;Básico;18;28.12
288;64;Crítico;25;39.06
288;64;Medio;10;15.62
346;602;Avanzado;56;9.3
346;602;Básico;149;24.75
346;602;Crítico;245;40.7
346;602;Medio;136;22.59
378;202;Avanzado;25;12.38
378;202;Básico;47;23.27
378;202;Crítico;69;34.16
378;202;Medio;58;28.71
384;444;Avanzado;74;16.67
384;444;Básico;110;24.77
384;444;Crítico;122;27.48
384;444;Medio;129;29.05
392;516;Avanzado;80;15.5
392;516;Básico;86;16.67
392;516;Crítico;204;39.53
392;516;Medio;140;27.13
393;334;Avanzado;83;24.85
393;334;Básico;78;23.35
393;334;Crítico;55;16.47
393;334;Medio;116;34.73
417;520;Avanzado;52;10.0
417;520;Básico;135;25.96
417;520;Crítico;209;40.19
417;520;Medio;120;23.08
457;117;Avanzado;1;0.85
457;117;Básico;30;25.64
457;117;Crítico;65;55.56
457;117;Medio;21;17.95
461;122;Avanzado;2;1.64
461;122;Básico;26;21.31
461;122;Crítico;77;63.11
461;122;Medio;17;13.93
477;146;Avanzado;27;18.49
477;146;Básico;28;19.18
477;146;Crítico;70;47.95
477;146;Medio;21;14.38
478;323;Avanzado;20;6.19
478;323;Básico;84;26.01
478;323;Crítico;170;52.63
478;323;Medio;47;14.55
485;276;Avanzado;13;4.71
485;276;Básico;71;25.72
485;276;Crítico;143;51.81
485;276;Medio;49;17.75
486;350;Avanzado;21;6.0
486;350;Básico;114;32.57
486;350;Crítico;131;37.43
486;350;Medio;84;24.0
494;171;Avanzado;8;4.68
494;171;Básico;42;24.56
494;171;Crítico;81;47.37
494;171;Medio;40;23.39
511;82;Básico;5;6.1
511;82;Crítico;69;84.15
511;82;Medio;4;4.88
514;423;Avanzado;31;7.33
514;423;Básico;124;29.31
514;423;Crítico;172;40.66
514;423;Medio;89;21.04
552;327;Avanzado;18;5.5
552;327;Básico;70;21.41
552;327;Crítico;165;50.46
552;327;Medio;65;19.88
582;330;Avanzado;44;13.33
582;330;Básico;88;26.67
582;330;Crítico;88;26.67
582;330;Medio;104;31.52
621;176;Básico;26;14.77
621;176;Crítico;140;79.55
621;176;Medio;6;3.41
989;992;Avanzado;206;20.77
989;992;Básico;202;20.36
989;992;Crítico;125;12.6
989;992;Medio;447;45.06
990;637;Avanzado;52;8.16
990;637;Básico;194;30.46
990;637;Crítico;108;16.95
990;637;Medio;283;44.43
991;837;Avanzado;95;11.35
991;837;Básico;172;20.55
991;837;Crítico;119;14.22
991;837;Medio;422;50.42
993;720;Avanzado;57;7.92
993;720;Básico;206;28.61
993;720;Crítico;262;36.39
993;720;Medio;195;27.08
997;705;Avanzado;23;3.26
997;705;Básico;144;20.43
997;705;Crítico;455;64.54
997;705;Medio;80;11.35
1004;1085;Avanzado;252;23.23
1004;1085;Básico;194;17.88
1004;1085;Crítico;105;9.68
1004;1085;Medio;533;49.12
1008;685;Avanzado;60;8.76
1008;685;Básico;188;27.45
1008;685;Crítico;195;28.47
1008;685;Medio;238;34.74
1010;494;Avanzado;44;8.91
1010;494;Básico;141;28.54
1010;494;Crítico;173;35.02
1010;494;Medio;136;27.53
1012;515;Avanzado;61;11.84
1012;515;Básico;138;26.8
1012;515;Crítico;112;21.75
1012;515;Medio;192;37.28
1015;319;Avanzado;29;9.09
1015;319;Básico;69;21.63
1015;319;Crítico;107;33.54
1015;319;Medio;111;34.8
1022;267;Avanzado;21;7.87
1022;267;Básico;73;27.34
1022;267;Crítico;100;37.45
1022;267;Medio;73;27.34
1023;1065;Avanzado;76;7.14
1023;1065;Básico;194;18.22
1023;1065;Crítico;526;49.39
1023;1065;Medio;267;25.07
1024;238;Avanzado;9;3.78
1024;238;Básico;22;9.24
1024;238;Crítico;175;73.53
1024;238;Medio;31;13.03
1026;611;Avanzado;12;1.96
1026;611;Básico;219;35.84
1026;611;Crítico;203;33.22
1026;611;Medio;153;25.04
1027;291;Avanzado;12;4.12
1027;291;Básico;106;36.43
1027;291;Crítico;98;33.68
1027;291;Medio;71;24.4
1034;491;Avanzado;38;7.74
1034;491;Básico;137;27.9
1034;491;Crítico;103;20.98
1034;491;Medio;213;43.38
1037;417;Avanzado;21;5.04
1037;417;Básico;150;35.97
1037;417;Crítico;123;29.5
1037;417;Medio;123;29.5
1038;371;Avanzado;23;6.2
1038;371;Básico;117;31.54
1038;371;Crítico;103;27.76
1038;371;Medio;123;33.15
1043;655;Avanzado;97;14.81
1043;655;Básico;143;21.83
1043;655;Crítico;59;9.01
1043;655;Medio;354;54.05
1050;638;Avanzado;103;16.14
1050;638;Básico;167;26.18
1050;638;Crítico;122;19.12
1050;638;Medio;246;38.56
1052;786;Avanzado;32;4.07
1052;786;Básico;275;34.99
1052;786;Crítico;216;27.48
1052;786;Medio;250;31.81
1053;603;Avanzado;95;15.75
1053;603;Básico;149;24.71
1053;603;Crítico;189;31.34
1053;603;Medio;169;28.03
1054;568;Avanzado;22;3.87
1054;568;Básico;169;29.75
1054;568;Crítico;256;45.07
1054;568;Medio;116;20.42
1055;448;Avanzado;10;2.23
1055;448;Básico;113;25.22
1055;448;Crítico;246;54.91
1055;448;Medio;79;17.63
1065;630;Avanzado;61;9.68
1065;630;Básico;138;21.9
1065;630;Crítico;260;41.27
1065;630;Medio;171;27.14
1066;400;Avanzado;21;5.25
1066;400;Básico;130;32.5
1066;400;Crítico;131;32.75
