Escuela_ID;CURSO_NORMALIZADO;Total_Alumnos_por_Escuela_ID_y_CURSO_NORMALIZADO;DESEMPEÑO;Total_Alumnos_por_Tipo_de_Desempeño;Desempeño_por_Escuela_CURSO_NORMALIZADO
9;2°;118;Avanzado;1.0;0.847457627118644
9;2°;118;Básico;21.0;17.796610169491526
9;2°;118;Crítico;83.0;70.33898305084746
9;2°;118;Medio;13.0;11.016949152542372
9;3°;115;Avanzado;16.0;13.91304347826087
9;3°;115;Básico;42.0;36.52173913043478
9;3°;115;Crítico;31.0;26.956521739130434
9;3°;115;Medio;20.0;17.391304347826086
9;4°;111;Avanzado;11.0;9.90990990990991
9;4°;111;Básico;32.0;28.82882882882883
9;4°;111;Crítico;37.0;33.33333333333333
9;4°;111;Medio;31.0;27.927927927927925
9;5°;117;Avanzado;15.0;12.82051282051282
9;5°;117;Básico;33.0;28.205128205128204
9;5°;117;Crítico;46.0;39.31623931623932
9;5°;117;Medio;22.0;18.803418803418804
9;6°;113;Avanzado;17.0;15.04424778761062
9;6°;113;Básico;41.0;36.283185840707965
9;6°;113;Crítico;17.0;15.04424778761062
9;6°;113;Medio;38.0;33.6283185840708
9;7°;130;Avanzado;14.0;10.76923076923077
9;7°;130;Básico;26.0;20.0
9;7°;130;Crítico;32.0;24.615384615384617
9;7°;130;Medio;58.0;44.61538461538462
14;2°;60;Avanzado;12.0;20.0
14;2°;60;Básico;12.0;20.0
14;2°;60;Crítico;27.0;45.0
14;2°;60;Medio;8.0;13.333333333333334
14;3°;53;Avanzado;19.0;35.84905660377358
14;3°;53;Básico;8.0;15.09433962264151
14;3°;53;Crítico;10.0;18.867924528301888
14;3°;53;Medio;14.0;26.41509433962264
14;4°;63;Avanzado;20.0;31.746031746031743
14;4°;63;Básico;11.0;17.46031746031746
14;4°;63;Crítico;12.0;19.047619047619047
14;4°;63;Medio;19.0;30.158730158730158
14;5°;56;Avanzado;11.0;19.642857142857142
14;5°;56;Básico;13.0;23.214285714285715
14;5°;56;Crítico;15.0;26.785714285714285
14;5°;56;Medio;15.0;26.785714285714285
14;6°;51;Avanzado;22.0;43.13725490196079
14;6°;51;Básico;6.0;11.76470588235294
14;6°;51;Crítico;3.0;5.88235294117647
14;6°;51;Medio;20.0;39.21568627450981
14;7°;57;Avanzado;10.0;17.543859649122805
14;7°;57;Básico;19.0;33.33333333333333
14;7°;57;Crítico;5.0;8.771929824561402
14;7°;57;Medio;22.0;38.59649122807017
22;2°;81;Avanzado;14.0;17.28395061728395
22;2°;81;Básico;19.0;23.456790123456788
22;2°;81;Crítico;40.0;49.382716049382715
22;2°;81;Medio;8.0;9.876543209876543
22;3°;72;Avanzado;18.0;25.0
22;3°;72;Básico;13.0;18.055555555555554
22;3°;72;Crítico;26.0;36.11111111111111
22;3°;72;Medio;12.0;16.666666666666664
22;4°;82;Avanzado;23.0;28.04878048780488
22;4°;82;Básico;17.0;20.73170731707317
22;4°;82;Crítico;13.0;15.853658536585366
22;4°;82;Medio;29.0;35.36585365853659
22;5°;71;Avanzado;12.0;16.901408450704224
22;5°;71;Básico;20.0;28.169014084507044
22;5°;71;Crítico;20.0;28.169014084507044
22;5°;71;Medio;17.0;23.943661971830984
22;6°;101;Avanzado;24.0;23.762376237623762
22;6°;101;Básico;12.0;11.881188118811881
22;6°;101;Crítico;25.0;24.752475247524753
22;6°;101;Medio;39.0;38.613861386138616
22;7°;82;Avanzado;20.0;24.390243902439025
22;7°;82;Básico;20.0;24.390243902439025
22;7°;82;Crítico;9.0;10.975609756097562
22;7°;82;Medio;33.0;40.243902439024396
60;2°;27;Avanzado;1.0;3.7037037037037033
60;2°;27;Básico;7.0;25.925925925925924
60;2°;27;Crítico;14.0;51.85185185185185
60;2°;27;Medio;4.0;14.814814814814813
60;3°;37;Avanzado;10.0;27.027027027027028
60;3°;37;Básico;8.0;21.62162162162162
60;3°;37;Crítico;11.0;29.72972972972973
60;3°;37;Medio;7.0;18.91891891891892
60;4°;45;Avanzado;14.0;31.11111111111111
60;4°;45;Básico;16.0;35.55555555555556
60;4°;45;Crítico;2.0;4.444444444444445
60;4°;45;Medio;11.0;24.444444444444443
60;5°;27;Avanzado;3.0;11.11111111111111
60;5°;27;Básico;9.0;33.33333333333333
60;5°;27;Crítico;8.0;29.629629629629626
60;5°;27;Medio;5.0;18.51851851851852
60;6°;39;Avanzado;11.0;28.205128205128204
60;6°;39;Básico;7.0;17.94871794871795
60;6°;39;Crítico;2.0;5.128205128205128
60;6°;39;Medio;19.0;48.717948717948715
60;7°;29;Avanzado;5.0;17.24137931034483
60;7°;29;Básico;3.0;10.344827586206897
60;7°;29;Medio;20.0;68.96551724137932
74;2°;103;Avanzado;2.0;1.9417475728155338
74;2°;103;Básico;31.0;30.097087378640776
74;2°;103;Crítico;58.0;56.310679611650485
74;2°;103;Medio;12.0;11.650485436893204
74;3°;120;Avanzado;26.0;21.666666666666668
74;3°;120;Básico;36.0;30.0
74;3°;120;Crítico;17.0;14.166666666666666
74;3°;120;Medio;40.0;33.33333333333333
74;4°;115;Avanzado;48.0;41.73913043478261
74;4°;115;Básico;25.0;21.73913043478261
74;4°;115;Crítico;7.0;6.086956521739131
74;4°;115;Medio;35.0;30.434782608695656
74;5°;116;Avanzado;25.0;21.551724137931032
74;5°;116;Básico;31.0;26.72413793103448
74;5°;116;Crítico;20.0;17.24137931034483
74;5°;116;Medio;39.0;33.62068965517241
74;6°;109;Avanzado;49.0;44.95412844036697
74;6°;109;Básico;16.0;14.678899082568808
74;6°;109;Crítico;2.0;1.834862385321101
74;6°;109;Medio;42.0;38.53211009174312
74;7°;126;Avanzado;36.0;28.57142857142857
74;7°;126;Básico;26.0;20.634920634920633
74;7°;126;Crítico;6.0;4.761904761904762
74;7°;126;Medio;58.0;46.03174603174603
194;2°;56;Avanzado;1.0;1.7857142857142856
194;2°;56;Básico;6.0;10.714285714285714
194;2°;56;Crítico;48.0;85.71428571428571
194;2°;56;Medio;1.0;1.7857142857142856
194;3°;65;Avanzado;7.0;10.76923076923077
194;3°;65;Básico;19.0;29.230769230769234
194;3°;65;Crítico;29.0;44.61538461538462
194;3°;65;Medio;9.0;13.846153846153847
194;4°;54;Avanzado;6.0;11.11111111111111
194;4°;54;Básico;11.0;20.37037037037037
194;4°;54;Crítico;27.0;50.0
194;4°;54;Medio;10.0;18.51851851851852
194;5°;43;Avanzado;1.0;2.3255813953488373
194;5°;43;Básico;4.0;9.30232558139535
194;5°;43;Crítico;28.0;65.11627906976744
194;5°;43;Medio;10.0;23.25581395348837
194;6°;44;Avanzado;6.0;13.636363636363635
194;6°;44;Básico;14.0;31.818181818181817
194;6°;44;Crítico;8.0;18.181818181818183
194;6°;44;Medio;16.0;36.36363636363637
194;7°;44;Avanzado;5.0;11.363636363636363
194;7°;44;Básico;14.0;31.818181818181817
194;7°;44;Crítico;13.0;29.545454545454547
194;7°;44;Medio;12.0;27.27272727272727
197;2°;115;Avanzado;3.0;2.608695652173913
197;2°;115;Básico;10.0;8.695652173913043
197;2°;115;Crítico;97.0;84.34782608695653
197;2°;115;Medio;5.0;4.3478260869565215
197;3°;104;Avanzado;20.0;19.230769230769234
197;3°;104;Básico;21.0;20.192307692307693
197;3°;104;Crítico;29.0;27.884615384615387
197;3°;104;Medio;32.0;30.76923076923077
197;4°;102;Avanzado;25.0;24.509803921568626
197;4°;102;Básico;22.0;21.568627450980394
197;4°;102;Crítico;25.0;24.509803921568626
197;4°;102;Medio;30.0;29.411764705882355
197;5°;108;Avanzado;10.0;9.25925925925926
197;5°;108;Básico;19.0;17.59259259259259
197;5°;108;Crítico;42.0;38.88888888888889
197;5°;108;Medio;35.0;32.407407407407405
197;6°;93;Avanzado;8.0;8.60215053763441
197;6°;93;Básico;11.0;11.827956989247312
197;6°;93;Crítico;37.0;39.784946236559136
197;6°;93;Medio;37.0;39.784946236559136
197;7°;107;Avanzado;13.0;12.149532710280374
197;7°;107;Básico;21.0;19.626168224299064
197;7°;107;Crítico;21.0;19.626168224299064
197;7°;107;Medio;52.0;48.598130841121495
210;2°;76;Avanzado;4.0;5.263157894736842
210;2°;76;Básico;19.0;25.0
210;2°;76;Crítico;48.0;63.1578947368421
210;2°;76;Medio;5.0;6.578947368421052
210;3°;74;Avanzado;14.0;18.91891891891892
210;3°;74;Básico;21.0;28.37837837837838
210;3°;74;Crítico;25.0;33.78378378378378
210;3°;74;Medio;14.0;18.91891891891892
210;4°;78;Avanzado;14.0;17.94871794871795
210;4°;78;Básico;13.0;16.666666666666664
210;4°;78;Crítico;28.0;35.8974358974359
210;4°;78;Medio;22.0;28.205128205128204
210;5°;85;Avanzado;16.0;18.823529411764707
210;5°;85;Básico;20.0;23.52941176470588
210;5°;85;Crítico;25.0;29.411764705882355
210;5°;85;Medio;22.0;25.882352941176475
210;6°;59;Avanzado;15.0;25.423728813559322
210;6°;59;Básico;10.0;16.94915254237288
210;6°;59;Crítico;6.0;10.16949152542373
210;6°;59;Medio;23.0;38.983050847457626
210;7°;75;Avanzado;5.0;6.666666666666667
210;7°;75;Básico;12.0;16.0
210;7°;75;Crítico;34.0;45.33333333333333
210;7°;75;Medio;23.0;30.666666666666664
250;2°;54;Avanzado;3.0;5.555555555555555
250;2°;54;Básico;17.0;31.48148148148148
250;2°;54;Crítico;24.0;44.44444444444444
250;2°;54;Medio;9.0;16.666666666666664
250;3°;61;Avanzado;8.0;13.114754098360656
250;3°;61;Básico;22.0;36.0655737704918
250;3°;61;Crítico;17.0;27.86885245901639
250;3°;61;Medio;13.0;21.311475409836063
250;4°;46;Avanzado;8.0;17.391304347826086
250;4°;46;Básico;15.0;32.608695652173914
250;4°;46;Crítico;5.0;10.869565217391305
250;4°;46;Medio;18.0;39.130434782608695
250;5°;57;Avanzado;5.0;8.771929824561402
250;5°;57;Básico;17.0;29.82456140350877
250;5°;57;Crítico;10.0;17.543859649122805
250;5°;57;Medio;25.0;43.859649122807014
250;6°;68;Avanzado;20.0;29.411764705882355
250;6°;68;Básico;17.0;25.0
250;6°;68;Crítico;1.0;1.4705882352941175
250;6°;68;Medio;30.0;44.11764705882353
250;7°;52;Avanzado;10.0;19.230769230769234
250;7°;52;Básico;14.0;26.923076923076923
250;7°;52;Crítico;2.0;3.8461538461538463
250;7°;52;Medio;25.0;48.07692307692308
253;2°;76;Avanzado;5.0;6.578947368421052
253;2°;76;Básico;24.0;31.57894736842105
253;2°;76;Crítico;39.0;51.31578947368421
253;2°;76;Medio;8.0;10.526315789473683
253;3°;75;Avanzado;15.0;20.0
253;3°;75;Básico;25.0;33.33333333333333
253;3°;75;Crítico;16.0;21.333333333333336
253;3°;75;Medio;18.0;24.0
253;4°;94;Avanzado;22.0;23.404255319148938
253;4°;94;Básico;24.0;25.53191489361702
253;4°;94;Crítico;13.0;13.829787234042554
253;4°;94;Medio;32.0;34.04255319148936
253;5°;70;Avanzado;10.0;14.285714285714285
253;5°;70;Básico;20.0;28.57142857142857
253;5°;70;Crítico;23.0;32.857142857142854
253;5°;70;Medio;16.0;22.857142857142858
253;6°;75;Avanzado;15.0;20.0
253;6°;75;Básico;22.0;29.333333333333332
253;6°;75;Crítico;12.0;16.0
253;6°;75;Medio;26.0;34.66666666666667
253;7°;85;Avanzado;23.0;27.058823529411764
253;7°;85;Básico;19.0;22.35294117647059
253;7°;85;Crítico;15.0;17.647058823529413
253;7°;85;Medio;27.0;31.76470588235294
288;4°;17;Básico;9.0;52.94117647058824
288;4°;17;Crítico;2.0;11.76470588235294
288;4°;17;Medio;4.0;23.52941176470588
288;5°;10;Crítico;10.0;100.0
288;6°;21;Avanzado;5.0;23.809523809523807
288;6°;21;Básico;6.0;28.57142857142857
288;6°;21;Crítico;3.0;14.285714285714285
288;6°;21;Medio;5.0;23.809523809523807
288;7°;16;Básico;3.0;18.75
288;7°;16;Crítico;10.0;62.5
288;7°;16;Medio;1.0;6.25
346;2°;108;Avanzado;4.0;3.7037037037037033
346;2°;108;Básico;22.0;20.37037037037037
346;2°;108;Crítico;74.0;68.51851851851852
346;2°;108;Medio;7.0;6.481481481481481
346;3°;104;Avanzado;15.0;14.423076923076922
346;3°;104;Básico;24.0;23.076923076923077
346;3°;104;Crítico;48.0;46.15384615384615
346;3°;104;Medio;14.0;13.461538461538462
346;4°;99;Avanzado;12.0;12.121212121212121
346;4°;99;Básico;22.0;22.22222222222222
346;4°;99;Crítico;30.0;30.303030303030305
346;4°;99;Medio;31.0;31.313131313131315
346;5°;92;Avanzado;4.0;4.3478260869565215
346;5°;92;Básico;25.0;27.173913043478258
346;5°;92;Crítico;40.0;43.47826086956522
346;5°;92;Medio;20.0;21.73913043478261
346;6°;95;Avanzado;16.0;16.842105263157894
346;6°;95;Básico;18.0;18.947368421052634
346;6°;95;Crítico;22.0;23.157894736842106
346;6°;95;Medio;34.0;35.78947368421053
346;7°;104;Avanzado;5.0;4.807692307692308
346;7°;104;Básico;38.0;36.53846153846153
346;7°;104;Crítico;31.0;29.807692307692307
346;7°;104;Medio;30.0;28.846153846153843
378;3°;107;Avanzado;8.0;7.476635514018691
378;3°;107;Básico;20.0;18.69158878504673
378;3°;107;Crítico;57.0;53.271028037383175
378;3°;107;Medio;20.0;18.69158878504673
378;6°;95;Avanzado;17.0;17.894736842105264
378;6°;95;Básico;27.0;28.421052631578945
378;6°;95;Crítico;12.0;12.631578947368421
378;6°;95;Medio;38.0;40.0
384;2°;58;Avanzado;1.0;1.7241379310344827
