Escuela_ID;CURSO_NORMALIZADO;División;DESEMPEÑO;Alumno_ID
9;2°;A;Básico;4
9;2°;A;Crítico;25
9;2°;A;Medio;2
9;2°;B;Básico;5
9;2°;B;Crítico;23
9;2°;B;Medio;5
9;2°;C;Básico;9
9;2°;C;Crítico;15
9;2°;C;Medio;2
9;2°;D;Avanzado;1
9;2°;D;Básico;3
9;2°;D;Crítico;20
9;2°;D;Medio;4
9;3°;A;Avanzado;6
9;3°;A;Básico;13
9;3°;A;Crítico;3
9;3°;A;Medio;8
9;3°;B;Avanzado;4
9;3°;B;Básico;8
9;3°;B;Crítico;16
9;3°;B;Medio;4
9;3°;C;Avanzado;4
9;3°;C;Básico;13
9;3°;C;Crítico;4
9;3°;C;Medio;5
9;3°;D;Avanzado;2
9;3°;D;Básico;8
9;3°;D;Crítico;8
9;3°;D;Medio;3
9;4°;A;Avanzado;3
9;4°;A;Básico;11
9;4°;A;Crítico;13
9;4°;A;Medio;7
9;4°;B;Avanzado;4
9;4°;B;Básico;7
9;4°;B;Crítico;8
9;4°;B;Medio;13
9;4°;C;Avanzado;1
9;4°;C;Básico;8
9;4°;C;Crítico;7
9;4°;C;Medio;6
9;4°;D;Avanzado;3
9;4°;D;Básico;6
9;4°;D;Crítico;9
9;4°;D;Medio;5
9;5°;A;Avanzado;3
9;5°;A;Básico;8
9;5°;A;Crítico;11
9;5°;A;Medio;8
9;5°;B;Avanzado;7
9;5°;B;Básico;8
9;5°;B;Crítico;9
9;5°;B;Medio;5
9;5°;C;Avanzado;2
9;5°;C;Básico;9
9;5°;C;Crítico;10
9;5°;C;Medio;5
9;5°;D;Avanzado;3
9;5°;D;Básico;8
9;5°;D;Crítico;16
9;5°;D;Medio;4
9;6°;A;Avanzado;1
9;6°;A;Básico;13
9;6°;A;Crítico;5
9;6°;A;Medio;12
9;6°;B;Avanzado;2
9;6°;B;Básico;13
9;6°;B;Crítico;4
9;6°;B;Medio;9
9;6°;C;Avanzado;6
9;6°;C;Básico;11
9;6°;C;Crítico;3
9;6°;C;Medio;9
9;6°;D;Avanzado;8
9;6°;D;Básico;4
9;6°;D;Crítico;5
9;6°;D;Medio;8
9;7°;A;Avanzado;3
9;7°;A;Básico;5
9;7°;A;Crítico;4
9;7°;A;Medio;15
9;7°;B;Avanzado;1
9;7°;B;Básico;5
9;7°;B;Crítico;7
9;7°;B;Medio;12
9;7°;C;Avanzado;5
9;7°;C;Básico;4
9;7°;C;Crítico;7
9;7°;C;Medio;10
9;7°;D;Avanzado;2
9;7°;D;Básico;6
9;7°;D;Crítico;7
9;7°;D;Medio;9
9;7°;E;Avanzado;3
9;7°;E;Básico;6
9;7°;E;Crítico;7
9;7°;E;Medio;12
14;2°;A;Avanzado;7
14;2°;A;Básico;6
14;2°;A;Crítico;15
