"Escuela_ID";"CURSO_NORMALIZADO";"Total_Alumnos_por_Escuela_ID_y_CURSO_NORMALIZADO";"DESEMPEÑO";"Total_Alumnos_por_Tipo_de_Desempeño";"Desempeño_por_Escuela_CURSO_NORMALIZADO"
"9";"2°";"118";"Avanzado";"1";"0.85"
"9";"2°";"118";"Básico";"21";"17.8"
"9";"2°";"118";"Crítico";"83";"70.34"
"9";"2°";"118";"Medio";"13";"11.02"
"9";"3°";"115";"Avanzado";"16";"13.91"
"9";"3°";"115";"Básico";"43";"37.39"
"9";"3°";"115";"Crítico";"36";"31.3"
"9";"3°";"115";"Medio";"20";"17.39"
"9";"4°";"111";"Avanzado";"11";"9.91"
"9";"4°";"111";"Básico";"32";"28.83"
"9";"4°";"111";"Crítico";"37";"33.33"
"9";"4°";"111";"Medio";"31";"27.93"
"9";"5°";"117";"Avanzado";"15";"12.82"
"9";"5°";"117";"Básico";"33";"28.21"
"9";"5°";"117";"Crítico";"47";"40.17"
"9";"5°";"117";"Medio";"22";"18.8"
"9";"6°";"113";"Avanzado";"17";"15.04"
"9";"6°";"113";"Básico";"41";"36.28"
"9";"6°";"113";"Crítico";"17";"15.04"
"9";"6°";"113";"Medio";"38";"33.63"
"9";"7°";"130";"Avanzado";"14";"10.77"
"9";"7°";"130";"Básico";"26";"20.0"
"9";"7°";"130";"Crítico";"32";"24.62"
"9";"7°";"130";"Medio";"58";"44.62"
"14";"2°";"60";"Avanzado";"12";"20.0"
"14";"2°";"60";"Básico";"12";"20.0"
"14";"2°";"60";"Crítico";"28";"46.67"
"14";"2°";"60";"Medio";"8";"13.33"
"14";"3°";"53";"Avanzado";"20";"37.74"
"14";"3°";"53";"Básico";"8";"15.09"
"14";"3°";"53";"Crítico";"11";"20.75"
"14";"3°";"53";"Medio";"14";"26.42"
"14";"4°";"63";"Avanzado";"20";"31.75"
"14";"4°";"63";"Básico";"11";"17.46"
"14";"4°";"63";"Crítico";"13";"20.63"
"14";"4°";"63";"Medio";"19";"30.16"
"14";"5°";"56";"Avanzado";"11";"19.64"
"14";"5°";"56";"Básico";"14";"25.0"
"14";"5°";"56";"Crítico";"16";"28.57"
"14";"5°";"56";"Medio";"15";"26.79"
"14";"6°";"51";"Avanzado";"22";"43.14"
"14";"6°";"51";"Básico";"6";"11.76"
"14";"6°";"51";"Crítico";"3";"5.88"
"14";"6°";"51";"Medio";"20";"39.22"
"14";"7°";"57";"Avanzado";"10";"17.54"
"14";"7°";"57";"Básico";"19";"33.33"
"14";"7°";"57";"Crítico";"5";"8.77"
"14";"7°";"57";"Medio";"23";"40.35"
"22";"2°";"81";"Avanzado";"14";"17.28"
"22";"2°";"81";"Básico";"19";"23.46"
"22";"2°";"81";"Crítico";"40";"49.38"
"22";"2°";"81";"Medio";"8";"9.88"
"22";"3°";"72";"Avanzado";"18";"25.0"
"22";"3°";"72";"Básico";"14";"19.44"
"22";"3°";"72";"Crítico";"28";"38.89"
"22";"3°";"72";"Medio";"12";"16.67"
"22";"4°";"82";"Avanzado";"23";"28.05"
"22";"4°";"82";"Básico";"17";"20.73"
"22";"4°";"82";"Crítico";"13";"15.85"
"22";"4°";"82";"Medio";"29";"35.37"
"22";"5°";"71";"Avanzado";"13";"18.31"
"22";"5°";"71";"Básico";"20";"28.17"
"22";"5°";"71";"Crítico";"20";"28.17"
"22";"5°";"71";"Medio";"18";"25.35"
"22";"6°";"101";"Avanzado";"24";"23.76"
"22";"6°";"101";"Básico";"12";"11.88"
"22";"6°";"101";"Crítico";"26";"25.74"
"22";"6°";"101";"Medio";"39";"38.61"
"22";"7°";"82";"Avanzado";"20";"24.39"
"22";"7°";"82";"Básico";"20";"24.39"
"22";"7°";"82";"Crítico";"9";"10.98"
"22";"7°";"82";"Medio";"33";"40.24"
"60";"2°";"27";"Avanzado";"1";"3.7"
"60";"2°";"27";"Básico";"8";"29.63"
"60";"2°";"27";"Crítico";"14";"51.85"
"60";"2°";"27";"Medio";"4";"14.81"
"60";"3°";"37";"Avanzado";"10";"27.03"
"60";"3°";"37";"Básico";"9";"24.32"
"60";"3°";"37";"Crítico";"11";"29.73"
"60";"3°";"37";"Medio";"7";"18.92"
"60";"4°";"45";"Avanzado";"14";"31.11"
"60";"4°";"45";"Básico";"17";"37.78"
"60";"4°";"45";"Crítico";"2";"4.44"
"60";"4°";"45";"Medio";"12";"26.67"
"60";"5°";"27";"Avanzado";"3";"11.11"
"60";"5°";"27";"Básico";"11";"40.74"
"60";"5°";"27";"Crítico";"8";"29.63"
"60";"5°";"27";"Medio";"5";"18.52"
"60";"6°";"39";"Avanzado";"11";"28.21"
"60";"6°";"39";"Básico";"7";"17.95"
"60";"6°";"39";"Crítico";"2";"5.13"
"60";"6°";"39";"Medio";"19";"48.72"
"60";"7°";"29";"Avanzado";"5";"17.24"
"60";"7°";"29";"Básico";"4";"13.79"
"60";"7°";"29";"Medio";"20";"68.97"
"74";"2°";"103";"Avanzado";"2";"1.94"
"74";"2°";"103";"Básico";"31";"30.1"
"74";"2°";"103";"Crítico";"58";"56.31"
"74";"2°";"103";"Medio";"12";"11.65"
"74";"3°";"120";"Avanzado";"26";"21.67"
"74";"3°";"120";"Básico";"36";"30.0"
"74";"3°";"120";"Crítico";"18";"15.0"
"74";"3°";"120";"Medio";"40";"33.33"
"74";"4°";"115";"Avanzado";"48";"41.74"
"74";"4°";"115";"Básico";"25";"21.74"
"74";"4°";"115";"Crítico";"7";"6.09"
"74";"4°";"115";"Medio";"35";"30.43"
"74";"5°";"116";"Avanzado";"25";"21.55"
"74";"5°";"116";"Básico";"32";"27.59"
"74";"5°";"116";"Crítico";"20";"17.24"
"74";"5°";"116";"Medio";"39";"33.62"
"74";"6°";"109";"Avanzado";"49";"44.95"
"74";"6°";"109";"Básico";"16";"14.68"
"74";"6°";"109";"Crítico";"2";"1.83"
"74";"6°";"109";"Medio";"42";"38.53"
"74";"7°";"126";"Avanzado";"36";"28.57"
"74";"7°";"126";"Básico";"26";"20.63"
"74";"7°";"126";"Crítico";"6";"4.76"
"74";"7°";"126";"Medio";"58";"46.03"
"194";"2°";"56";"Avanzado";"1";"1.79"
"194";"2°";"56";"Básico";"6";"10.71"
"194";"2°";"56";"Crítico";"48";"85.71"
"194";"2°";"56";"Medio";"1";"1.79"
"194";"3°";"65";"Avanzado";"7";"10.77"
"194";"3°";"65";"Básico";"19";"29.23"
"194";"3°";"65";"Crítico";"30";"46.15"
"194";"3°";"65";"Medio";"9";"13.85"
"194";"4°";"54";"Avanzado";"6";"11.11"
"194";"4°";"54";"Básico";"11";"20.37"
"194";"4°";"54";"Crítico";"27";"50.0"
"194";"4°";"54";"Medio";"10";"18.52"
"194";"5°";"43";"Avanzado";"1";"2.33"
"194";"5°";"43";"Básico";"4";"9.3"
"194";"5°";"43";"Crítico";"28";"65.12"
"194";"5°";"43";"Medio";"10";"23.26"
"194";"6°";"44";"Avanzado";"6";"13.64"
"194";"6°";"44";"Básico";"14";"31.82"
"194";"6°";"44";"Crítico";"8";"18.18"
"194";"6°";"44";"Medio";"16";"36.36"
"194";"7°";"44";"Avanzado";"5";"11.36"
"194";"7°";"44";"Básico";"14";"31.82"
"194";"7°";"44";"Crítico";"13";"29.55"
"194";"7°";"44";"Medio";"12";"27.27"
"197";"2°";"115";"Avanzado";"3";"2.61"
"197";"2°";"115";"Básico";"10";"8.7"
"197";"2°";"115";"Crítico";"97";"84.35"
"197";"2°";"115";"Medio";"5";"4.35"
"197";"3°";"104";"Avanzado";"20";"19.23"
"197";"3°";"104";"Básico";"21";"20.19"
"197";"3°";"104";"Crítico";"31";"29.81"
"197";"3°";"104";"Medio";"32";"30.77"
"197";"4°";"102";"Avanzado";"25";"24.51"
"197";"4°";"102";"Básico";"22";"21.57"
"197";"4°";"102";"Crítico";"25";"24.51"
"197";"4°";"102";"Medio";"30";"29.41"
"197";"5°";"108";"Avanzado";"10";"9.26"
"197";"5°";"108";"Básico";"19";"17.59"
"197";"5°";"108";"Crítico";"44";"40.74"
"197";"5°";"108";"Medio";"35";"32.41"
"197";"6°";"93";"Avanzado";"8";"8.6"
"197";"6°";"93";"Básico";"11";"11.83"
"197";"6°";"93";"Crítico";"37";"39.78"
"197";"6°";"93";"Medio";"37";"39.78"
"197";"7°";"107";"Avanzado";"13";"12.15"
"197";"7°";"107";"Básico";"21";"19.63"
"197";"7°";"107";"Crítico";"21";"19.63"
"197";"7°";"107";"Medio";"52";"48.6"
"210";"2°";"76";"Avanzado";"4";"5.26"
"210";"2°";"76";"Básico";"19";"25.0"
"210";"2°";"76";"Crítico";"48";"63.16"
"210";"2°";"76";"Medio";"5";"6.58"
"210";"3°";"74";"Avanzado";"14";"18.92"
"210";"3°";"74";"Básico";"21";"28.38"
"210";"3°";"74";"Crítico";"25";"33.78"
"210";"3°";"74";"Medio";"14";"18.92"
"210";"4°";"78";"Avanzado";"14";"17.95"
"210";"4°";"78";"Básico";"13";"16.67"
"210";"4°";"78";"Crítico";"29";"37.18"
"210";"4°";"78";"Medio";"22";"28.21"
"210";"5°";"85";"Avanzado";"16";"18.82"
"210";"5°";"85";"Básico";"20";"23.53"
"210";"5°";"85";"Crítico";"27";"31.76"
"210";"5°";"85";"Medio";"22";"25.88"
"210";"6°";"59";"Avanzado";"15";"25.42"
"210";"6°";"59";"Básico";"10";"16.95"
"210";"6°";"59";"Crítico";"11";"18.64"
"210";"6°";"59";"Medio";"23";"38.98"
"210";"7°";"75";"Avanzado";"5";"6.67"
"210";"7°";"75";"Básico";"12";"16.0"
"210";"7°";"75";"Crítico";"35";"46.67"
"210";"7°";"75";"Medio";"23";"30.67"
"250";"2°";"54";"Avanzado";"3";"5.56"
"250";"2°";"54";"Básico";"17";"31.48"
"250";"2°";"54";"Crítico";"25";"46.3"
"250";"2°";"54";"Medio";"9";"16.67"
"250";"3°";"61";"Avanzado";"8";"13.11"
"250";"3°";"61";"Básico";"22";"36.07"
"250";"3°";"61";"Crítico";"18";"29.51"
"250";"3°";"61";"Medio";"13";"21.31"
"250";"4°";"46";"Avanzado";"8";"17.39"
"250";"4°";"46";"Básico";"15";"32.61"
"250";"4°";"46";"Crítico";"5";"10.87"
"250";"4°";"46";"Medio";"18";"39.13"
"250";"5°";"57";"Avanzado";"5";"8.77"
"250";"5°";"57";"Básico";"17";"29.82"
"250";"5°";"57";"Crítico";"10";"17.54"
"250";"5°";"57";"Medio";"25";"43.86"
"250";"6°";"68";"Avanzado";"20";"29.41"
"250";"6°";"68";"Básico";"17";"25.0"
"250";"6°";"68";"Crítico";"1";"1.47"
"250";"6°";"68";"Medio";"30";"44.12"
"250";"7°";"52";"Avanzado";"10";"19.23"
"250";"7°";"52";"Básico";"14";"26.92"
"250";"7°";"52";"Crítico";"3";"5.77"
"250";"7°";"52";"Medio";"25";"48.08"
"253";"2°";"76";"Avanzado";"5";"6.58"
"253";"2°";"76";"Básico";"24";"31.58"
"253";"2°";"76";"Crítico";"39";"51.32"
"253";"2°";"76";"Medio";"8";"10.53"
"253";"3°";"75";"Avanzado";"15";"20.0"
"253";"3°";"75";"Básico";"25";"33.33"
"253";"3°";"75";"Crítico";"17";"22.67"
"253";"3°";"75";"Medio";"18";"24.0"
"253";"4°";"94";"Avanzado";"23";"24.47"
"253";"4°";"94";"Básico";"25";"26.6"
"253";"4°";"94";"Crítico";"14";"14.89"
"253";"4°";"94";"Medio";"32";"34.04"
"253";"5°";"70";"Avanzado";"10";"14.29"
"253";"5°";"70";"Básico";"20";"28.57"
"253";"5°";"70";"Crítico";"23";"32.86"
"253";"5°";"70";"Medio";"17";"24.29"
"253";"6°";"75";"Avanzado";"15";"20.0"
"253";"6°";"75";"Básico";"22";"29.33"
"253";"6°";"75";"Crítico";"12";"16.0"
"253";"6°";"75";"Medio";"26";"34.67"
"253";"7°";"85";"Avanzado";"23";"27.06"
"253";"7°";"85";"Básico";"19";"22.35"
"253";"7°";"85";"Crítico";"16";"18.82"
"253";"7°";"85";"Medio";"27";"31.76"
"288";"4°";"17";"Básico";"9";"52.94"
"288";"4°";"17";"Crítico";"4";"23.53"
"288";"4°";"17";"Medio";"4";"23.53"
"288";"5°";"10";"Crítico";"10";"100.0"
"288";"6°";"21";"Avanzado";"6";"28.57"
"288";"6°";"21";"Básico";"7";"33.33"
"288";"6°";"21";"Crítico";"3";"14.29"
"288";"6°";"21";"Medio";"5";"23.81"
"288";"7°";"16";"Básico";"3";"18.75"
"288";"7°";"16";"Crítico";"12";"75.0"
"288";"7°";"16";"Medio";"1";"6.25"
"346";"2°";"108";"Avanzado";"4";"3.7"
"346";"2°";"108";"Básico";"22";"20.37"
"346";"2°";"108";"Crítico";"75";"69.44"
"346";"2°";"108";"Medio";"7";"6.48"
"346";"3°";"104";"Avanzado";"15";"14.42"
"346";"3°";"104";"Básico";"24";"23.08"
"346";"3°";"104";"Crítico";"51";"49.04"
"346";"3°";"104";"Medio";"14";"13.46"
"346";"4°";"99";"Avanzado";"12";"12.12"
"346";"4°";"99";"Básico";"23";"23.23"
"346";"4°";"99";"Crítico";"33";"33.33"
"346";"4°";"99";"Medio";"31";"31.31"
"346";"5°";"92";"Avanzado";"4";"4.35"
"346";"5°";"92";"Básico";"26";"28.26"
"346";"5°";"92";"Crítico";"41";"44.57"
"346";"5°";"92";"Medio";"21";"22.83"
"346";"6°";"95";"Avanzado";"16";"16.84"
"346";"6°";"95";"Básico";"18";"18.95"
"346";"6°";"95";"Crítico";"26";"27.37"
"346";"6°";"95";"Medio";"35";"36.84"
"346";"7°";"104";"Avanzado";"5";"4.81"
"346";"7°";"104";"Básico";"38";"36.54"
"346";"7°";"104";"Crítico";"31";"29.81"
"346";"7°";"104";"Medio";"30";"28.85"
"378";"3°";"107";"Avanzado";"8";"7.48"
"378";"3°";"107";"Básico";"20";"18.69"
"378";"3°";"107";"Crítico";"59";"55.14"
"378";"3°";"107";"Medio";"20";"18.69"
"378";"6°";"95";"Avanzado";"17";"17.89"
"378";"6°";"95";"Básico";"27";"28.42"
"378";"6°";"95";"Crítico";"13";"13.68"
"378";"6°";"95";"Medio";"38";"40.0"
"384";"2°";"58";"Avanzado";"1";"1.72"
"384";"2°";"58";"Básico";"12";"20.69"
"384";"2°";"58";"Crítico";"40";"68.97"
"384";"2°";"58";"Medio";"5";"8.62"
"384";"3°";"73";"Avanzado";"13";"17.81"
"384";"3°";"73";"Básico";"23";"31.51"
"384";"3°";"73";"Crítico";"26";"35.62"
"384";"3°";"73";"Medio";"11";"15.07"
"384";"4°";"76";"Avanzado";"11";"14.47"
"384";"4°";"76";"Básico";"24";"31.58"
"384";"4°";"76";"Crítico";"20";"26.32"
"384";"4°";"76";"Medio";"21";"27.63"
"384";"5°";"74";"Avanzado";"7";"9.46"
"384";"5°";"74";"Básico";"27";"36.49"
"384";"5°";"74";"Crítico";"21";"28.38"
"384";"5°";"74";"Medio";"19";"25.68"
"384";"6°";"84";"Avanzado";"23";"27.38"
"384";"6°";"84";"Básico";"13";"15.48"
"384";"6°";"84";"Crítico";"9";"10.71"
"384";"6°";"84";"Medio";"39";"46.43"
"384";"7°";"79";"Avanzado";"19";"24.05"
"384";"7°";"79";"Básico";"11";"13.92"
"384";"7°";"79";"Crítico";"15";"18.99"
"384";"7°";"79";"Medio";"34";"43.04"
"392";"2°";"83";"Básico";"10";"12.05"
"392";"2°";"83";"Crítico";"61";"73.49"
"392";"2°";"83";"Medio";"12";"14.46"
"392";"3°";"93";"Avanzado";"15";"16.13"
"392";"3°";"93";"Básico";"35";"37.63"
"392";"3°";"93";"Crítico";"26";"27.96"
"392";"3°";"93";"Medio";"17";"18.28"
"392";"4°";"83";"Avanzado";"21";"25.3"
"392";"4°";"83";"Básico";"17";"20.48"
"392";"4°";"83";"Crítico";"19";"22.89"
"392";"4°";"83";"Medio";"26";"31.33"
"392";"5°";"89";"Básico";"6";"6.74"
"392";"5°";"89";"Crítico";"77";"86.52"
"392";"5°";"89";"Medio";"6";"6.74"
"392";"6°";"86";"Avanzado";"17";"19.77"
"392";"6°";"86";"Básico";"10";"11.63"
"392";"6°";"86";"Crítico";"15";"17.44"
"392";"6°";"86";"Medio";"44";"51.16"
"392";"7°";"82";"Avanzado";"27";"32.93"
"392";"7°";"82";"Básico";"8";"9.76"
"392";"7°";"82";"Crítico";"11";"13.41"
"392";"7°";"82";"Medio";"36";"43.9"
"393";"2°";"61";"Avanzado";"9";"14.75"
"393";"2°";"61";"Básico";"22";"36.07"
"393";"2°";"61";"Crítico";"20";"32.79"
"393";"2°";"61";"Medio";"10";"16.39"
"393";"3°";"49";"Avanzado";"14";"28.57"
"393";"3°";"49";"Básico";"14";"28.57"
"393";"3°";"49";"Crítico";"13";"26.53"
"393";"3°";"49";"Medio";"8";"16.33"
"393";"4°";"46";"Avanzado";"15";"32.61"
"393";"4°";"46";"Básico";"11";"23.91"
"393";"4°";"46";"Crítico";"4";"8.7"
"393";"4°";"46";"Medio";"16";"34.78"
"393";"5°";"54";"Avanzado";"7";"12.96"
"393";"5°";"54";"Básico";"17";"31.48"
"393";"5°";"54";"Crítico";"8";"14.81"
"393";"5°";"54";"Medio";"22";"40.74"
"393";"6°";"59";"Avanzado";"29";"49.15"
"393";"6°";"59";"Básico";"3";"5.08"
"393";"6°";"59";"Crítico";"3";"5.08"
"393";"6°";"59";"Medio";"24";"40.68"
"393";"7°";"65";"Avanzado";"9";"13.85"
"393";"7°";"65";"Básico";"11";"16.92"
"393";"7°";"65";"Crítico";"9";"13.85"
"393";"7°";"65";"Medio";"36";"55.38"
"417";"2°";"105";"Avanzado";"1";"0.95"
"417";"2°";"105";"Básico";"12";"11.43"
"417";"2°";"105";"Crítico";"85";"80.95"
"417";"2°";"105";"Medio";"7";"6.67"
"417";"3°";"78";"Avanzado";"12";"15.38"
"417";"3°";"78";"Básico";"18";"23.08"
"417";"3°";"78";"Crítico";"32";"41.03"
"417";"3°";"78";"Medio";"16";"20.51"
"417";"4°";"99";"Avanzado";"9";"9.09"
"417";"4°";"99";"Básico";"37";"37.37"
"417";"4°";"99";"Crítico";"29";"29.29"
"417";"4°";"99";"Medio";"24";"24.24"
"417";"5°";"78";"Avanzado";"6";"7.69"
"417";"5°";"78";"Básico";"21";"26.92"
"417";"5°";"78";"Crítico";"37";"47.44"
"417";"5°";"78";"Medio";"14";"17.95"
"417";"6°";"68";"Avanzado";"15";"22.06"
"417";"6°";"68";"Básico";"16";"23.53"
"417";"6°";"68";"Crítico";"13";"19.12"
"417";"6°";"68";"Medio";"24";"35.29"
"417";"7°";"92";"Avanzado";"9";"9.78"
"417";"7°";"92";"Básico";"32";"34.78"
"417";"7°";"92";"Crítico";"16";"17.39"
"417";"7°";"92";"Medio";"35";"38.04"
"457";"2°";"25";"Básico";"2";"8.0"
"457";"2°";"25";"Crítico";"23";"92.0"
"457";"3°";"25";"Básico";"4";"16.0"
"457";"3°";"25";"Crítico";"18";"72.0"
"457";"3°";"25";"Medio";"3";"12.0"
"457";"4°";"17";"Avanzado";"1";"5.88"
"457";"4°";"17";"Básico";"6";"35.29"
"457";"4°";"17";"Crítico";"6";"35.29"
"457";"4°";"17";"Medio";"4";"23.53"
"457";"5°";"21";"Básico";"8";"38.1"
"457";"5°";"21";"Crítico";"9";"42.86"
"457";"5°";"21";"Medio";"4";"19.05"
"457";"6°";"13";"Básico";"4";"30.77"
"457";"6°";"13";"Crítico";"4";"30.77"
"457";"6°";"13";"Medio";"5";"38.46"
"457";"7°";"16";"Básico";"6";"37.5"
"457";"7°";"16";"Crítico";"5";"31.25"
"457";"7°";"16";"Medio";"5";"31.25"
"461";"2°";"19";"Básico";"3";"15.79"
"461";"2°";"19";"Crítico";"15";"78.95"
"461";"2°";"19";"Medio";"1";"5.26"
"461";"3°";"25";"Básico";"7";"28.0"
"461";"3°";"25";"Crítico";"16";"64.0"
"461";"3°";"25";"Medio";"2";"8.0"
"461";"4°";"20";"Avanzado";"1";"5.0"
"461";"4°";"20";"Básico";"3";"15.0"
"461";"4°";"20";"Crítico";"12";"60.0"
"461";"4°";"20";"Medio";"4";"20.0"
"461";"5°";"16";"Básico";"4";"25.0"
"461";"5°";"16";"Crítico";"10";"62.5"
"461";"5°";"16";"Medio";"2";"12.5"
"461";"6°";"22";"Avanzado";"1";"4.55"
"461";"6°";"22";"Básico";"7";"31.82"
"461";"6°";"22";"Crítico";"11";"50.0"
"461";"6°";"22";"Medio";"3";"13.64"
"461";"7°";"20";"Básico";"2";"10.0"
"461";"7°";"20";"Crítico";"13";"65.0"
"461";"7°";"20";"Medio";"5";"25.0"
"477";"2°";"28";"Básico";"3";"10.71"
"477";"2°";"28";"Crítico";"25";"89.29"
"477";"3°";"33";"Básico";"5";"15.15"
"477";"3°";"33";"Crítico";"23";"69.7"
"477";"3°";"33";"Medio";"5";"15.15"
"477";"4°";"19";"Básico";"10";"52.63"
"477";"4°";"19";"Crítico";"8";"42.11"
"477";"4°";"19";"Medio";"1";"5.26"
"477";"5°";"24";"Avanzado";"9";"37.5"
"477";"5°";"24";"Básico";"4";"16.67"
"477";"5°";"24";"Crítico";"4";"16.67"
"477";"5°";"24";"Medio";"7";"29.17"
"477";"6°";"14";"Avanzado";"2";"14.29"
"477";"6°";"14";"Básico";"2";"14.29"
"477";"6°";"14";"Crítico";"8";"57.14"
"477";"6°";"14";"Medio";"2";"14.29"
"477";"7°";"28";"Avanzado";"16";"57.14"
"477";"7°";"28";"Básico";"4";"14.29"
"477";"7°";"28";"Crítico";"2";"7.14"
"477";"7°";"28";"Medio";"6";"21.43"
"478";"2°";"68";"Avanzado";"2";"2.94"
"478";"2°";"68";"Básico";"14";"20.59"
"478";"2°";"68";"Crítico";"47";"69.12"
"478";"2°";"68";"Medio";"5";"7.35"
"478";"3°";"59";"Avanzado";"4";"6.78"
"478";"3°";"59";"Básico";"15";"25.42"
"478";"3°";"59";"Crítico";"37";"62.71"
