"Nivel_Unificado";"CURSO_NORMALIZADO";"Total_Alumnos_por_Nivel_CURSO_NORMALIZADO";"DESEMPEÑO";"Total_Alumnos_por_Tipo_de_Desempeño";"Desempeño_por_Nivel_CURSO_NORMALIZADO"
"Primario";"2°";"4644";"Avanzado";"425";"9.15"
"Primario";"2°";"4644";"Básico";"1311";"28.23"
"Primario";"2°";"4644";"Crítico";"2220";"47.8"
"Primario";"2°";"4644";"Medio";"688";"14.81"
"Primario";"3°";"4815";"Avanzado";"1218";"25.3"
"Primario";"3°";"4815";"Básico";"1218";"25.3"
"Primario";"3°";"4815";"Crítico";"1112";"23.09"
"Primario";"3°";"4815";"Medio";"1267";"26.31"
"Primario";"4°";"4533";"Avanzado";"1396";"30.8"
"Primario";"4°";"4533";"Básico";"952";"21.0"
"Primario";"4°";"4533";"Crítico";"768";"16.94"
"Primario";"4°";"4533";"Medio";"1417";"31.26"
"Primario";"5°";"4540";"Avanzado";"867";"19.1"
"Primario";"5°";"4540";"Básico";"1085";"23.9"
"Primario";"5°";"4540";"Crítico";"1107";"24.38"
"Primario";"5°";"4540";"Medio";"1481";"32.62"
"Primario";"6°";"4442";"Avanzado";"1532";"34.49"
"Primario";"6°";"4442";"Básico";"684";"15.4"
"Primario";"6°";"4442";"Crítico";"542";"12.2"
"Primario";"6°";"4442";"Medio";"1684";"37.91"
"Primario";"7°";"4618";"Avanzado";"978";"21.18"
"Primario";"7°";"4618";"Básico";"927";"20.07"
"Primario";"7°";"4618";"Crítico";"684";"14.81"
"Primario";"7°";"4618";"Medio";"2029";"43.94"
"Secundario";"1°";"11214";"Avanzado";"1471";"13.12"
"Secundario";"1°";"11214";"Básico";"2344";"20.9"
"Secundario";"1°";"11214";"Crítico";"2082";"18.57"
"Secundario";"1°";"11214";"Medio";"5317";"47.41"
"Secundario";"2°";"10995";"Avanzado";"1467";"13.34"
"Secundario";"2°";"10995";"Básico";"2953";"26.86"
"Secundario";"2°";"10995";"Crítico";"3120";"28.38"
"Secundario";"2°";"10995";"Medio";"3455";"31.42"
"Secundario";"3°";"10374";"Avanzado";"1243";"11.98"
"Secundario";"3°";"10374";"Básico";"2137";"20.6"
"Secundario";"3°";"10374";"Crítico";"4194";"40.43"
"Secundario";"3°";"10374";"Medio";"2800";"26.99"
"Secundario";"4°";"8627";"Avanzado";"1087";"12.6"
"Secundario";"4°";"8627";"Básico";"2300";"26.66"
"Secundario";"4°";"8627";"Crítico";"2610";"30.25"
"Secundario";"4°";"8627";"Medio";"2630";"30.49"
"Secundario";"5°";"7539";"Avanzado";"755";"10.01"
"Secundario";"5°";"7539";"Básico";"2288";"30.35"
"Secundario";"5°";"7539";"Crítico";"2461";"32.64"
"Secundario";"5°";"7539";"Medio";"2035";"26.99"
"Secundario";"6°";"2148";"Avanzado";"194";"9.03"
"Secundario";"6°";"2148";"Básico";"503";"23.42"
"Secundario";"6°";"2148";"Crítico";"818";"38.08"
"Secundario";"6°";"2148";"Medio";"633";"29.47"
