"Supervisión";"CURSO_NORMALIZADO";"Total_Alumnos_por_Supervisión_CURSO_NORMALIZADO";"DESEMPEÑO";"Total_Alumnos_por_Tipo_de_Desempeño";"Desempeño_por_Supervisión_CURSO_NORMALIZADO"
"01 - Primario";"2°";"608";"Avanzado";"45";"7.4"
"01 - Primario";"2°";"608";"Básico";"145";"23.85"
"01 - Primario";"2°";"608";"Crítico";"357";"58.72"
"01 - Primario";"2°";"608";"Medio";"61";"10.03"
"01 - Primario";"3°";"737";"Avanzado";"141";"19.13"
"01 - Primario";"3°";"737";"Básico";"189";"25.64"
"01 - Primario";"3°";"737";"Crítico";"245";"33.24"
"01 - Primario";"3°";"737";"Medio";"162";"21.98"
"01 - Primario";"4°";"635";"Avanzado";"153";"24.09"
"01 - Primario";"4°";"635";"Básico";"157";"24.72"
"01 - Primario";"4°";"635";"Crítico";"128";"20.16"
"01 - Primario";"4°";"635";"Medio";"197";"31.02"
"01 - Primario";"5°";"588";"Avanzado";"79";"13.44"
"01 - Primario";"5°";"588";"Básico";"152";"25.85"
"01 - Primario";"5°";"588";"Crítico";"182";"30.95"
"01 - Primario";"5°";"588";"Medio";"175";"29.76"
"01 - Primario";"6°";"694";"Avanzado";"178";"25.65"
"01 - Primario";"6°";"694";"Básico";"136";"19.6"
"01 - Primario";"6°";"694";"Crítico";"101";"14.55"
"01 - Primario";"6°";"694";"Medio";"279";"40.2"
"01 - Primario";"7°";"622";"Avanzado";"119";"19.13"
"01 - Primario";"7°";"622";"Básico";"133";"21.38"
"01 - Primario";"7°";"622";"Crítico";"95";"15.27"
"01 - Primario";"7°";"622";"Medio";"275";"44.21"
"01 - Primario Privada";"2°";"874";"Avanzado";"122";"13.96"
"01 - Primario Privada";"2°";"874";"Básico";"277";"31.69"
"01 - Primario Privada";"2°";"874";"Crítico";"300";"34.32"
"01 - Primario Privada";"2°";"874";"Medio";"175";"20.02"
"01 - Primario Privada";"3°";"950";"Avanzado";"342";"36.0"
"01 - Primario Privada";"3°";"950";"Básico";"198";"20.84"
"01 - Primario Privada";"3°";"950";"Crítico";"109";"11.47"
"01 - Primario Privada";"3°";"950";"Medio";"301";"31.68"
"01 - Primario Privada";"4°";"913";"Avanzado";"380";"41.62"
"01 - Primario Privada";"4°";"913";"Básico";"166";"18.18"
"01 - Primario Privada";"4°";"913";"Crítico";"91";"9.97"
"01 - Primario Privada";"4°";"913";"Medio";"276";"30.23"
"01 - Primario Privada";"5°";"934";"Avanzado";"250";"26.77"
"01 - Primario Privada";"5°";"934";"Básico";"218";"23.34"
"01 - Primario Privada";"5°";"934";"Crítico";"119";"12.74"
"01 - Primario Privada";"5°";"934";"Medio";"347";"37.15"
"01 - Primario Privada";"6°";"892";"Avanzado";"433";"48.54"
"01 - Primario Privada";"6°";"892";"Básico";"91";"10.2"
"01 - Primario Privada";"6°";"892";"Crítico";"64";"7.17"
"01 - Primario Privada";"6°";"892";"Medio";"304";"34.08"
"01 - Primario Privada";"7°";"969";"Avanzado";"276";"28.48"
"01 - Primario Privada";"7°";"969";"Básico";"165";"17.03"
"01 - Primario Privada";"7°";"969";"Crítico";"73";"7.53"
"01 - Primario Privada";"7°";"969";"Medio";"455";"46.96"
"01 - Secundario Orientado";"1°";"1250";"Avanzado";"141";"11.28"
"01 - Secundario Orientado";"1°";"1250";"Básico";"286";"22.88"
"01 - Secundario Orientado";"1°";"1250";"Crítico";"298";"23.84"
"01 - Secundario Orientado";"1°";"1250";"Medio";"525";"42.0"
"01 - Secundario Orientado";"2°";"1173";"Avanzado";"118";"10.06"
"01 - Secundario Orientado";"2°";"1173";"Básico";"299";"25.49"
"01 - Secundario Orientado";"2°";"1173";"Crítico";"437";"37.25"
"01 - Secundario Orientado";"2°";"1173";"Medio";"319";"27.2"
"01 - Secundario Orientado";"3°";"1168";"Avanzado";"82";"7.02"
"01 - Secundario Orientado";"3°";"1168";"Básico";"236";"20.21"
"01 - Secundario Orientado";"3°";"1168";"Crítico";"605";"51.8"
"01 - Secundario Orientado";"3°";"1168";"Medio";"245";"20.98"
"01 - Secundario Orientado";"4°";"991";"Avanzado";"85";"8.58"
"01 - Secundario Orientado";"4°";"991";"Básico";"244";"24.62"
"01 - Secundario Orientado";"4°";"991";"Crítico";"388";"39.15"
"01 - Secundario Orientado";"4°";"991";"Medio";"274";"27.65"
"01 - Secundario Orientado";"5°";"857";"Avanzado";"66";"7.7"
"01 - Secundario Orientado";"5°";"857";"Básico";"252";"29.4"
"01 - Secundario Orientado";"5°";"857";"Crítico";"340";"39.67"
"01 - Secundario Orientado";"5°";"857";"Medio";"199";"23.22"
"01 - Secundario Orientado Privada";"1°";"1155";"Avanzado";"197";"17.06"
"01 - Secundario Orientado Privada";"1°";"1155";"Básico";"176";"15.24"
"01 - Secundario Orientado Privada";"1°";"1155";"Crítico";"70";"6.06"
"01 - Secundario Orientado Privada";"1°";"1155";"Medio";"712";"61.65"
"01 - Secundario Orientado Privada";"2°";"1175";"Avanzado";"253";"21.53"
"01 - Secundario Orientado Privada";"2°";"1175";"Básico";"277";"23.57"
"01 - Secundario Orientado Privada";"2°";"1175";"Crítico";"127";"10.81"
"01 - Secundario Orientado Privada";"2°";"1175";"Medio";"518";"44.09"
"01 - Secundario Orientado Privada";"3°";"1039";"Avanzado";"163";"15.69"
"01 - Secundario Orientado Privada";"3°";"1039";"Básico";"251";"24.16"
"01 - Secundario Orientado Privada";"3°";"1039";"Crítico";"200";"19.25"
"01 - Secundario Orientado Privada";"3°";"1039";"Medio";"425";"40.9"
"01 - Secundario Orientado Privada";"4°";"947";"Avanzado";"149";"15.73"
"01 - Secundario Orientado Privada";"4°";"947";"Básico";"246";"25.98"
"01 - Secundario Orientado Privada";"4°";"947";"Crítico";"124";"13.09"
"01 - Secundario Orientado Privada";"4°";"947";"Medio";"428";"45.2"
"01 - Secundario Orientado Privada";"5°";"919";"Avanzado";"81";"8.81"
"01 - Secundario Orientado Privada";"5°";"919";"Básico";"308";"33.51"
"01 - Secundario Orientado Privada";"5°";"919";"Crítico";"137";"14.91"
"01 - Secundario Orientado Privada";"5°";"919";"Medio";"393";"42.76"
"01 - Secundario Técnico";"1°";"1697";"Avanzado";"191";"11.26"
"01 - Secundario Técnico";"1°";"1697";"Básico";"381";"22.45"
"01 - Secundario Técnico";"1°";"1697";"Crítico";"327";"19.27"
"01 - Secundario Técnico";"1°";"1697";"Medio";"798";"47.02"
"01 - Secundario Técnico";"2°";"1700";"Avanzado";"134";"7.88"
"01 - Secundario Técnico";"2°";"1700";"Básico";"457";"26.88"
"01 - Secundario Técnico";"2°";"1700";"Crítico";"624";"36.71"
